UnitID,Institution Name,Tuition and fees (F0809_F3_RV),Imputation/Status Flag For Tuition and fees (F0809_F3_RV),Federal appropriations  grants and contracts (F0809_F3_RV),Imputation/Status Flag For Federal appropriations  grants and contracts (F0809_F3_RV),State and local appropriations  grants and contracts (F0809_F3_RV),Imputation/Status Flag For State and local appropriations  grants and contracts (F0809_F3_RV),Private grants and contracts (F0809_F3_RV),Imputation/Status Flag For Private grants and contracts (F0809_F3_RV),Investment income and investment gains (losses) included in net income (F0809_F3_RV),Imputation/Status Flag For Investment income and investment gains (losses) included in net income (F0809_F3_RV),Sales and services of educational activities (F0809_F3_RV),Imputation/Status Flag For Sales and services of educational activities (F0809_F3_RV),Sales and services of auxiliary enterprises (F0809_F3_RV),Imputation/Status Flag For Sales and services of auxiliary enterprises (F0809_F3_RV),Other revenue (F0809_F3_RV),Imputation/Status Flag For Other revenue (F0809_F3_RV),Total revenues and investment return (F0809_F3_RV),Imputation/Status Flag For Total revenues and investment return (F0809_F3_RV)
455363,360 Degrees Beauty Academy,61011,R,0,R,0,R,0,R,0,R,3708,R,,A,0,R,64719,R
448099,4-States Academy of Cosmetology,6725,R,111071,R,0,Z,0,Z,0,Z,24119,R,,A,108927,R,250842,R
375799,4-States Okmulgee Academy of Cosmetology,2700,R,95363,R,0,Z,0,Z,0,Z,25087,R,,A,101966,R,225116,R
436526,A.B.I. School of Barbering & Cosmetology of Chelsea Inc.,891148,R,374643,R,0,R,0,R,0,R,0,R,,A,0,R,1265791,R
449940,A.B.I. School of Barbering & Cosmetology of Tribeca Inc.,13304,R,298320,R,0,R,0,R,0,R,0,R,,A,0,R,311624,R
161615,Aaron's Academy of Beauty,416391,R,0,R,0,R,0,R,0,R,0,R,,A,199257,R,615648,R
106281,ABC Beauty College Inc,20072,R,233185,R,0,R,0,R,858,R,12950,R,,A,0,R,267065,R
208123,Abdill Career College Inc,918624,R,0,R,0,R,0,R,0,R,0,R,,A,0,R,918624,R
421896,Academia Serrant Inc,1509888,R,0,R,0,R,0,R,0,R,0,R,,A,0,R,1509888,R
172866,Academy College,1615486,R,349620,R,94442,R,3000,R,147,R,202224,R,66268,R,0,R,2331187,R
449463,Academy Di Capelli-School of Cosmetology,384809,R,93542,R,0,Z,0,Z,0,Z,0,Z,,A,0,R,478351,R
108232,Academy of Art University,180044114,R,0,R,0,R,0,R,-1436789,R,0,R,15926871,R,0,R,194534196,R
