UnitID,Institution Name,Tuition and fees (F0708_F3_RV),Imputation/Status Flag For Tuition and fees (F0708_F3_RV),Federal appropriations  grants and contracts (F0708_F3_RV),Imputation/Status Flag For Federal appropriations  grants and contracts (F0708_F3_RV),State and local appropriations  grants and contracts (F0708_F3_RV),Imputation/Status Flag For State and local appropriations  grants and contracts (F0708_F3_RV),Private grants and contracts (F0708_F3_RV),Imputation/Status Flag For Private grants and contracts (F0708_F3_RV),Investment income and investment gains (losses) included in net income (F0708_F3_RV),Imputation/Status Flag For Investment income and investment gains (losses) included in net income (F0708_F3_RV),Sales and services of educational activities (F0708_F3_RV),Imputation/Status Flag For Sales and services of educational activities (F0708_F3_RV),Sales and services of auxiliary enterprises (F0708_F3_RV),Imputation/Status Flag For Sales and services of auxiliary enterprises (F0708_F3_RV),Other revenue (F0708_F3_RV),Imputation/Status Flag For Other revenue (F0708_F3_RV),Total revenues and investment return (F0708_F3_RV),Imputation/Status Flag For Total revenues and investment return (F0708_F3_RV)
448099,4-States Academy of Cosmetology,27712,R,114401,R,0,R,0,R,0,R,42364,R,0,R,0,R,184477,R
375799,4-States Okmulgee Academy of Cosmetology,61550,R,10057,R,0,R,0,R,0,R,37623,R,0,R,0,R,109230,R
436526,A.B.I. School of Barbering & Cosmetology of Chelsea Inc.,771963,R,238409,R,0,R,0,R,0,R,0,R,0,R,0,R,1010372,R
449940,A.B.I. School of Barbering & Cosmetology of Tribeca Inc.,99563,R,126311,R,0,R,0,R,0,R,0,R,0,R,0,R,225874,R
161615,Aaron's Academy of Beauty,223729,R,0,R,0,R,0,R,0,R,0,R,122048,R,177919,R,523696,R
106281,ABC Beauty College Inc,140863,R,60548,R,0,Z,0,Z,1111,R,14545,R,0,Z,0,R,217067,R
208123,Abdill Career College Inc,739397,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,739397,R
421896,Academia Serrant Inc,1305606,R,0,R,0,R,0,R,0,R,0,R,0,R,25429,R,1331035,R
172866,Academy College,1382786,R,217383,R,118142,R,0,R,259,R,199659,R,67766,R,0,R,1985995,R
449463,Academy Di Capelli-School of Cosmetology,378000,R,105750,R,0,Z,0,Z,0,Z,0,Z,0,Z,7150,R,490900,R
108232,Academy of Art University,139615119,R,0,R,0,R,0,R,1266932,R,0,R,13192134,R,0,R,154074185,R
451097,Academy of Career Training,735707,R,0,R,0,Z,0,Z,0,Z,261153,R,0,Z,0,R,996860,R
372462,Academy of Cosmetology,386575,R,0,R,0,R,0,R,0,R,123425,R,0,R,0,R,510000,R
409209,Academy of Cosmetology,467515,R,0,R,0,R,0,R,0,R,137503,R,0,R,0,R,605018,R
442912,Academy of Cosmetology,98256,R,0,R,0,R,0,R,0,R,11569,R,0,R,1,R,109826,R
449852,Academy of Cosmetology,351324,R,0,R,16121,R,0,Z,0,Z,68292,R,0,Z,0,R,435737,R
179991,Academy of Cosmetology Inc,259166,R,0,R,0,R,0,R,1227,R,117673,R,0,R,0,R,378066,R
450438,Academy of Court Reporting and Technology-Pittsburgh,1563648,R,0,R,0,R,0,R,0,R,0,R,183530,R,0,R,1747178,R
363457,Academy of Court Reporting-Clawson,4422415,R,0,R,0,R,0,R,0,R,0,R,586253,R,0,R,5008668,R
154633,Academy of Hair Design Inc,240067,R,109087,R,0,R,1050,R,20278,R,79462,R,0,R,0,R,449944,R
175722,Academy of Hair Design-Grenada,207011,R,0,R,0,R,0,R,0,R,49383,R,0,R,0,R,256394,R
374316,Academy of Hair Design-Jackson,348692,R,0,R,0,R,0,R,0,R,162646,R,0,R,0,R,511338,R
447449,Academy of Hair Design-Jasper,625230,R,0,R,0,Z,0,Z,0,Z,77147,R,0,Z,0,R,702377,R
181880,Academy of Hair Design-Las Vegas,2364648,R,0,R,0,R,0,R,0,R,438219,R,0,R,0,R,2802867,R
434274,Academy of Hair Design-Lufkin,218654,R,0,R,0,R,0,R,0,R,0,R,0,R,69668,R,288322,R
382461,Academy of Hair Design-Pearl,244004,R,0,R,0,R,0,R,0,R,100941,R,0,R,0,R,344945,R
208080,Academy of Hair Design-Salem,379486,R,0,R,0,R,0,R,0,R,158027,R,0,R,0,R,537513,R
451334,Academy of Hair Design-Springfield,262654,R,0,R,0,Z,0,Z,0,Z,170931,R,0,Z,405141,R,838726,R
376446,Academy of Hair Technology,917727,R,0,R,0,R,0,R,6342,R,93594,R,53772,R,0,R,1071435,R
