UnitID,Institution Name,Tuition and fees (F0102_F3),Imputation/Status Flag For Tuition and fees (F0102_F3),Federal appropriations  grants and contracts (F0102_F3),Imputation/Status Flag For Federal appropriations  grants and contracts (F0102_F3),State and local appropriations  grants and contracts (F0102_F3),Imputation/Status Flag For State and local appropriations  grants and contracts (F0102_F3),Private grants and contracts (F0102_F3),Imputation/Status Flag For Private grants and contracts (F0102_F3),Investment income and investment gains (losses) included in net income (F0102_F3),Imputation/Status Flag For Investment income and investment gains (losses) included in net income (F0102_F3),Sales and services of educational activities (F0102_F3),Imputation/Status Flag For Sales and services of educational activities (F0102_F3),Sales and services of auxiliary enterprises (F0102_F3),Imputation/Status Flag For Sales and services of auxiliary enterprises (F0102_F3),Other revenue (F0102_F3),Imputation/Status Flag For Other revenue (F0102_F3),Total revenues and investment return (F0102_F3),Imputation/Status Flag For Total revenues and investment return (F0102_F3)
436526,A.B.I. School of Barbering & Cosmetology of Chelsea Inc.,408697,R,0,Z,0,Z,0,Z,0,Z,8471,R,0,Z,0,R,417168,R
419378,A1 Business and Technical College,175088,R,0,R,73566,R,0,R,88062,R,0,R,0,R,1476641,R,1813357,R
161615,Aaron's Academy of Beauty,211813,R,0,Z,0,Z,0,Z,0,Z,82947,R,0,Z,-4630,R,290130,R
176497,Abbott Academy of Cosmetology Arts and Sciences LLC,231703,R,0,R,0,R,0,R,0,R,49363,R,0,R,0,R,281066,R
106281,ABC Beauty College Inc,220032,R,0,Z,0,Z,0,Z,0,Z,3725,R,39173,R,0,R,262930,R
421896,Academia Serrant Inc,0,R,0,R,18601,R,0,R,0,R,0,R,0,R,708809,R,727410,R
429003,Academia Vocational Del Turabo,459494,R,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,459494,R
172866,Academy College,1894599,R,187351,R,228705,R,3500,R,2284,R,178480,R,90872,R,0,R,2585791,R
108232,Academy of Art University,81198521,R,0,R,0,R,0,R,539578,R,0,R,6947432,R,146581,R,88832112,R
372462,Academy of Cosmetology,197549,R,0,R,0,R,0,R,325,R,68585,R,0,R,-31188,R,235271,R
409209,Academy of Cosmetology,170299,P,0,P,0,P,0,P,0,P,135898,P,0,P,255731,P,561928,P
179991,Academy of Cosmetology Inc,8384,P,0,P,0,P,0,P,0,P,0,P,0,P,289293,P,297677,P
154633,Academy of Hair Design Inc,119476,R,0,R,0,R,0,R,273,R,259830,R,0,R,-119476,R,260103,R
175476,Academy of Hair Design Seven,63008,R,0,Z,0,Z,0,Z,0,Z,18568,R,0,Z,0,R,81576,R
175722,Academy of Hair Design-Grenada,132951,R,0,Z,0,Z,0,Z,282,R,47631,R,0,Z,0,R,180864,R
374316,Academy of Hair Design-Jackson,226490,R,0,Z,0,Z,0,Z,0,Z,95081,R,0,Z,0,R,321571,R
181880,Academy of Hair Design-Las Vegas,1301068,R,0,R,0,R,0,R,22819,R,233457,R,0,R,129041,R,1686385,R
434274,Academy of Hair Design-Lufkin,5950,R,0,R,0,R,0,R,0,R,65415,R,0,R,110248,R,181613,R
382461,Academy of Hair Design-Pearl,154867,R,0,Z,0,Z,0,Z,0,Z,77495,R,0,Z,0,R,232362,R
208080,Academy of Hair Design-Salem,254272,R,0,R,0,R,0,R,0,R,158373,R,0,R,30898,R,443543,R
376446,Academy of Hair Technology,629079,R,0,R,0,R,0,R,0,Z,18580,R,116081,R,0,R,763740,R
437501,Academy of Massage Therapy,1094897,R,0,R,0,R,0,R,0,R,96387,R,123212,R,0,R,1314496,R
136048,Academy of Palm Beach,475074,R,0,R,0,R,0,R,19384,R,180975,R,0,R,149279,R,824712,R
108287,Academy of Professional Careers,2086285,R,0,R,0,R,0,R,0,R,58453,R,7295,R,-115062,R,2036971,R
107293,Academy of Salon and Spa,155871,R,0,R,0,R,0,R,0,R,28745,R,0,R,0,R,184616,R
108393,Academy Pacific Travel College,1316972,R,116013,R,0,Z,0,Z,0,Z,0,Z,0,Z,125584,R,1558569,R
161624,Accutech Career Institute,1763785,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,1763785,R
419022,ACT College,4627602,R,0,Z,0,Z,0,Z,0,Z,0,Z,6838,R,0,R,4634440,R
439969,Acupuncture and Massage College,978866,R,0,R,0,R,0,R,106,R,0,R,71040,R,0,R,1050012,R
419314,Adirondack Beauty School,85353,R,44395,R,18000,R,0,R,0,R,0,R,26573,R,0,R,174321,R
262369,Adrian's Beauty College of Turlock,0,R,138022,R,0,R,49793,R,36984,R,102386,R,0,R,44760,R,371945,R
