UnitID,Institution Name,Tuition and fees (F1112_F3_RV),Imputation/Status Flag For Tuition and fees (F1112_F3_RV),Federal appropriations  grants and contracts (F1112_F3_RV),Imputation/Status Flag For Federal appropriations  grants and contracts (F1112_F3_RV),State and local appropriations  grants and contracts (F1112_F3_RV),Imputation/Status Flag For State and local appropriations  grants and contracts (F1112_F3_RV),Private grants and contracts (F1112_F3_RV),Imputation/Status Flag For Private grants and contracts (F1112_F3_RV),Investment income and investment gains (losses) included in net income (F1112_F3_RV),Imputation/Status Flag For Investment income and investment gains (losses) included in net income (F1112_F3_RV),Sales and services of educational activities (F1112_F3_RV),Imputation/Status Flag For Sales and services of educational activities (F1112_F3_RV),Sales and services of auxiliary enterprises (F1112_F3_RV),Imputation/Status Flag For Sales and services of auxiliary enterprises (F1112_F3_RV),Other revenue (F1112_F3_RV),Imputation/Status Flag For Other revenue (F1112_F3_RV),Total revenues and investment return (F1112_F3_RV),Imputation/Status Flag For Total revenues and investment return (F1112_F3_RV)
457590,A & W Healthcare Educators,369373,R,159742,R,0,R,0,R,0,R,0,R,,A,71329,R,600444,R
436526,A.B.I. School of Barbering & Cosmetology of Chelsea Inc.,827934,R,276760,R,0,R,0,R,0,R,20877,R,,A,0,R,1125571,R
161615,Aaron's Academy of Beauty,367235,R,0,Z,0,Z,0,Z,0,Z,0,Z,,A,0,R,367235,R
459523,ABC Beauty Academy,227962,R,0,Z,0,Z,0,Z,0,Z,225,R,,A,21087,R,249274,R
106281,ABC Beauty College Inc,157056,R,194663,R,2565,R,0,R,247,R,17595,R,,A,0,R,372126,R
461892,Abcott Institute,1443893,R,0,R,0,R,0,R,0,R,0,R,,A,0,R,1443893,R
208123,Abdill Career College Inc,1030799,R,0,Z,0,Z,0,Z,0,Z,0,Z,,A,0,R,1030799,R
480444,Abraham Lincoln University,8200,R,0,R,0,R,0,R,0,R,0,R,0,R,1559986,R,1568186,R
421896,Academia Serrant Inc,480265,R,1650991,R,37743,R,0,R,0,R,0,R,,A,0,R,2168999,R
172866,Academy College,1526978,R,488200,R,70733,R,6148,R,0,R,234857,R,66811,R,8,R,2393735,R
449463,Academy Di Capelli-School of Cosmetology,466172,R,199041,R,0,Z,0,Z,0,Z,0,Z,,A,84572,R,749785,R
476957,Academy di Firenze,60298,R,0,R,0,R,0,R,0,R,57203,R,,A,0,R,117501,R
461980,Academy for Salon Professionals,1271358,R,258044,R,0,Z,0,Z,23993,R,662353,R,,A,0,R,2215748,R
462062,Academy for Salon Professionals,980525,R,0,R,0,R,0,R,0,R,166674,R,,A,0,R,1147199,R
461616,Academy of Aesthetic Arts,427670,R,0,R,0,R,0,R,0,R,133059,R,,A,0,R,560729,R
108232,Academy of Art University,289012750,R,0,R,0,R,0,R,1124053,R,0,R,19597283,R,0,R,309734086,R
451097,Academy of Career Training,1508957,R,0,R,0,R,0,R,0,R,251406,R,,A,0,R,1760363,R
372462,Academy of Cosmetology,876456,R,639248,R,0,R,0,R,0,R,268036,R,,A,0,R,1783740,R
