UnitID,Institution Name,Tuition and fees (F9798_F3),Imputation/Status Flag For Tuition and fees (F9798_F3),Federal appropriations  grants and contracts (F9798_F3),Imputation/Status Flag For Federal appropriations  grants and contracts (F9798_F3),State and local appropriations  grants and contracts (F9798_F3),Imputation/Status Flag For State and local appropriations  grants and contracts (F9798_F3),Private grants and contracts (F9798_F3),Imputation/Status Flag For Private grants and contracts (F9798_F3),Investment income and investment gains (losses) included in net income (F9798_F3),Imputation/Status Flag For Investment income and investment gains (losses) included in net income (F9798_F3),Sales and services of educational activities (F9798_F3),Imputation/Status Flag For Sales and services of educational activities (F9798_F3),Sales and services of auxiliary enterprises (F9798_F3),Imputation/Status Flag For Sales and services of auxiliary enterprises (F9798_F3),Other revenue (F9798_F3),Imputation/Status Flag For Other revenue (F9798_F3),Total revenues and investment return (F9798_F3),Imputation/Status Flag For Total revenues and investment return (F9798_F3)
162681,Purdue University Global-Hagerstown,3720000,N,1126000,N,66856,N,0,N,0,N,0,N,0,N,417000,N,5329856,N
160940,Purdue University Global-Lewiston,1669492,R,867615,R,402760,R,0,R,31666,R,375848,R,0,R,30132,R,3377513,R
181242,Purdue University Global-Lincoln,3950283,R,1642580,R,46068,R,18931,R,0,R,0,R,18777,R,0,R,5676639,R
181400,Purdue University Global-Omaha,3796064,R,1869565,R,74553,R,9508,R,0,R,0,R,4831,R,0,R,5754521,R
243382,Ramirez College of Business and Technology,1797323,R,0,R,0,R,0,R,0,R,42536,R,0,R,37562,R,1877421,R
174622,Rasmussen College-Eagan,1969114,R,0,R,0,R,0,R,0,R,32327,R,0,R,61855,R,2063296,R
174464,Rasmussen College-Eden Prairie,1471559,R,0,R,0,R,0,R,0,R,22950,R,0,R,19956,R,1514465,R
174631,Rasmussen College-Mankato,2009301,R,0,R,0,R,0,R,0,R,13292,R,0,R,0,R,2022593,R
175014,Rasmussen University-Minnesota,1521819,N,0,N,0,N,0,N,21020,N,0,N,0,N,0,N,1542839,N
200013,Rasmussen University-North Dakota,56915,R,0,R,0,R,0,R,0,R,10349,R,0,R,0,R,67264,R
105659,Refrigeration School Inc,1810388,R,239832,R,6137,R,0,R,2500,R,6000,R,0,R,0,R,2064857,R
375416,Remington College-Cleveland Campus,2916488,R,0,R,0,R,0,R,0,R,0,R,0,R,25695,R,2942183,R
412599,Remington College-Memphis Campus,3758099,R,0,R,0,R,0,R,0,R,0,R,0,R,969660,R,4727759,R
366535,Remington College-Mobile Campus,5486076,R,5062130,R,423946,R,0,R,0,R,0,R,0,R,0,R,10972152,A
160250,Remington College-New Orleans Campus,3730312,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,3730312,R
135939,Remington College-Tampa Campus,14767784,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,14767784,R
127945,Rocky Mountain College of Art and Design,3314684,R,0,R,0,R,0,R,48438,R,0,R,139261,R,47116,R,3549499,R
421513,Ross College-Hopkinsville,803252,R,442733,R,14665,R,0,R,0,R,0,R,89331,R,0,R,1349981,R
122685,San Joaquin Valley College-Visalia,13428273,R,4533394,R,232964,R,0,R,328981,R,19925,R,0,R,0,R,18543537,R
166276,Sanford-Brown College-Boston,2347362,N,0,N,0,N,0,N,24262,N,270962,N,0,N,47011,N,2689597,N
146010,Sanford-Brown College-Chicago,7272228,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,7272228,R
129613,Sanford-Brown College-Farmington,3476000,R,0,R,0,R,0,R,0,R,0,R,0,R,495000,R,3971000,R
179201,Sanford-Brown College-Fenton,12377621,R,2382077,R,0,R,510742,R,57847,R,0,R,0,R,0,R,15328287,R
174394,Sanford-Brown College-Mendota Heights,2823152,R,0,R,0,R,0,R,0,R,0,R,0,R,1210996,R,4034148,R
134680,Sanford-Brown College-Tampa,8359572,N,1024009,N,1874669,N,718977,N,0,N,0,N,863913,N,145361,N,12986501,N
376136,Sanford-Brown Institute-Wilkins Township,2050381,N,0,N,0,N,0,N,0,N,0,N,0,N,374192,N,2424573,N
428107,Santa Barbara College of Oriental Medicine,641157,N,0,N,0,N,0,N,0,N,0,N,0,N,5466,N,646623,N
215831,SAWYER SCHOOL,2681591,N,5719401,N,0,N,0,N,0,N,0,N,0,N,21206,N,8422198,N
192156,SBI Campus-An Affiliate of Sanford-Brown,2930289,R,857658,R,1045225,R,0,R,0,R,0,R,0,R,1831281,R,6664453,R
404338,Schiller International University,2812542,R,0,R,0,R,0,R,0,R,0,R,606711,R,0,R,3419253,R
