UnitID,Institution Name,Tuition and fees (F0405_F3_RV),Imputation/Status Flag For Tuition and fees (F0405_F3_RV),Federal appropriations  grants and contracts (F0405_F3_RV),Imputation/Status Flag For Federal appropriations  grants and contracts (F0405_F3_RV),State and local appropriations  grants and contracts (F0405_F3_RV),Imputation/Status Flag For State and local appropriations  grants and contracts (F0405_F3_RV),Private grants and contracts (F0405_F3_RV),Imputation/Status Flag For Private grants and contracts (F0405_F3_RV),Investment income and investment gains (losses) included in net income (F0405_F3_RV),Imputation/Status Flag For Investment income and investment gains (losses) included in net income (F0405_F3_RV),Sales and services of educational activities (F0405_F3_RV),Imputation/Status Flag For Sales and services of educational activities (F0405_F3_RV),Sales and services of auxiliary enterprises (F0405_F3_RV),Imputation/Status Flag For Sales and services of auxiliary enterprises (F0405_F3_RV),Other revenue (F0405_F3_RV),Imputation/Status Flag For Other revenue (F0405_F3_RV),Total revenues and investment return (F0405_F3_RV),Imputation/Status Flag For Total revenues and investment return (F0405_F3_RV)
436526,A.B.I. School of Barbering & Cosmetology of Chelsea Inc.,363662,R,243768,R,0,R,0,R,0,R,0,R,0,R,0,R,607430,R
161615,Aaron's Academy of Beauty,321108,R,0,R,0,R,0,R,0,R,0,R,141216,R,0,R,462324,R
176497,Abbott Academy of Cosmetology Arts and Sciences LLC,396920,R,0,R,0,R,0,R,0,R,112074,R,0,R,0,R,508994,R
106281,ABC Beauty College Inc,175048,R,111502,R,0,R,0,R,423,R,33218,R,0,R,0,R,320191,R
208123,Abdill Career College Inc,630691,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,630691,R
421896,Academia Serrant Inc,299555,R,753724,R,32500,R,0,R,0,R,0,R,0,R,0,R,1085779,R
429003,Academia Vocational Del Turabo,294125,R,0,R,0,R,0,R,0,R,105073,R,0,R,0,R,399198,R
172866,Academy College,1860969,R,269731,R,148973,R,5300,R,104,R,206726,R,68871,R,0,R,2560674,R
442903,Academy Education Services,295951,R,407507,R,0,R,87867,R,0,R,0,R,0,R,600,R,791925,R
108232,Academy of Art University,96823670,R,0,R,0,R,0,R,779683,R,0,R,6510166,R,0,R,104113519,R
372462,Academy of Cosmetology,224025,R,0,R,0,R,0,R,0,R,70522,R,0,R,0,R,294547,R
409209,Academy of Cosmetology,232054,R,0,R,0,R,0,R,0,R,0,R,64505,R,251651,R,548210,R
