UnitID,Institution Name,Tuition and fees (F0304_F3_RV),Imputation/Status Flag For Tuition and fees (F0304_F3_RV),Federal appropriations  grants and contracts (F0304_F3_RV),Imputation/Status Flag For Federal appropriations  grants and contracts (F0304_F3_RV),State and local appropriations  grants and contracts (F0304_F3_RV),Imputation/Status Flag For State and local appropriations  grants and contracts (F0304_F3_RV),Private grants and contracts (F0304_F3_RV),Imputation/Status Flag For Private grants and contracts (F0304_F3_RV),Investment income and investment gains (losses) included in net income (F0304_F3_RV),Imputation/Status Flag For Investment income and investment gains (losses) included in net income (F0304_F3_RV),Sales and services of educational activities (F0304_F3_RV),Imputation/Status Flag For Sales and services of educational activities (F0304_F3_RV),Sales and services of auxiliary enterprises (F0304_F3_RV),Imputation/Status Flag For Sales and services of auxiliary enterprises (F0304_F3_RV),Other revenue (F0304_F3_RV),Imputation/Status Flag For Other revenue (F0304_F3_RV),Total revenues and investment return (F0304_F3_RV),Imputation/Status Flag For Total revenues and investment return (F0304_F3_RV)
436526,A.B.I. School of Barbering & Cosmetology of Chelsea Inc.,176021,R,444666,R,0,R,0,R,0,R,12123,R,0,R,0,R,632810,R
419378,A1 Business and Technical College,89541,R,1227911,R,52394,R,0,R,0,R,0,R,0,R,95016,R,1464862,R
161615,Aaron's Academy of Beauty,350790,R,0,R,0,R,0,R,0,R,0,R,99315,R,0,R,450105,R
176497,Abbott Academy of Cosmetology Arts and Sciences LLC,385765,R,0,R,0,R,0,R,0,R,130283,R,0,R,0,R,516048,R
106281,ABC Beauty College Inc,162438,R,89974,R,0,R,0,R,0,R,29623,R,0,R,0,R,282035,R
208123,Abdill Career College Inc,595054,R,0,R,0,R,0,R,0,R,0,R,0,R,10172,R,605226,R
421896,Academia Serrant Inc,459222,R,527928,R,28012,R,0,R,0,R,0,R,0,R,0,R,1015162,R
429003,Academia Vocational Del Turabo,250973,R,0,R,0,R,0,R,0,R,195725,R,0,R,0,R,446698,R
172866,Academy College,1747293,R,229459,R,126380,R,4500,R,105,R,203565,R,67215,R,0,R,2378517,R
442903,Academy Education Services,302200,R,173100,R,0,R,25700,R,0,R,0,R,0,R,0,R,501000,R
108232,Academy of Art University,89816637,R,0,R,0,R,0,R,844645,R,0,Z,5477374,R,0,R,96138656,R
372462,Academy of Cosmetology,95582,R,0,R,0,R,0,R,0,R,126928,R,0,R,0,R,222510,R
409209,Academy of Cosmetology,294260,R,0,R,0,R,0,R,0,R,0,R,72052,R,0,R,366312,R
442912,Academy of Cosmetology,268957,R,0,R,0,R,0,R,0,R,0,R,11689,R,24433,R,305079,R
179991,Academy of Cosmetology Inc,184703,R,0,R,0,R,0,R,2877,R,192913,R,0,R,0,R,380493,R
154633,Academy of Hair Design Inc,220824,R,178123,R,0,R,0,R,1446,R,97461,R,0,R,0,R,497854,R
175476,Academy of Hair Design Seven,100666,R,0,R,0,Z,0,Z,84,R,20392,R,0,Z,0,R,121142,R
175722,Academy of Hair Design-Grenada,199725,R,0,R,0,Z,0,Z,224,R,54222,R,0,Z,0,R,254171,R
374316,Academy of Hair Design-Jackson,419848,R,0,R,0,Z,0,Z,0,Z,101395,R,0,Z,0,R,521243,R
181880,Academy of Hair Design-Las Vegas,1193116,R,228501,R,0,R,0,R,0,R,0,R,281464,R,20128,R,1723209,R
434274,Academy of Hair Design-Lufkin,356703,R,0,R,0,R,0,R,0,Z,130500,R,0,R,0,R,487203,R
382461,Academy of Hair Design-Pearl,151787,R,0,R,0,Z,0,Z,182,R,99075,R,0,Z,0,R,251044,R
208080,Academy of Hair Design-Salem,312445,R,0,R,0,R,0,R,0,R,197538,R,0,R,0,R,509983,R
376446,Academy of Hair Technology,922337,R,0,R,0,R,0,R,5407,R,13440,R,108841,R,0,R,1050025,R
437501,Academy of Massage Therapy,1076527,R,0,R,0,R,0,R,0,R,99095,R,101241,R,0,R,1276863,R
136048,Academy of Palm Beach,866259,R,0,R,0,R,0,R,8635,R,168387,R,0,R,0,R,1043281,R
108287,Academy of Professional Careers,11479026,R,0,R,0,Z,0,Z,547274,R,351261,R,0,Z,0,R,12377561,R
107293,Academy of Salon and Spa,179637,R,0,R,0,R,0,R,0,R,65885,R,0,R,0,R,245522,R
108393,Academy Pacific Travel College,663567,R,474736,R,0,R,32372,R,0,R,0,R,0,R,0,R,1170675,R
161624,Accutech Career Institute,2100437,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,2100437,R
419022,ACT College,6272373,R,0,R,0,R,0,R,0,R,46529,R,0,R,0,R,6318902,R
439969,Acupuncture and Massage College,1020238,R,156226,R,0,R,0,R,0,R,48139,R,105529,R,0,R,1330132,R
419314,Adirondack Beauty School,102490,R,77118,R,1975,R,0,R,0,R,12524,R,0,R,38582,R,232689,R
400187,Advance Beauty College,972957,R,0,R,0,R,0,R,0,R,0,R,0,R,768700,R,1741657,R
444334,Advance Science International College,443877,R,0,R,0,R,0,R,1080,R,0,R,0,R,0,R,444957,R
444352,Advance Tech College,220045,R,0,R,0,R,0,R,0,R,0,R,0,R,85479,R,305524,R
437608,Advanced Barber College and Hair Design,415625,R,0,R,0,R,0,R,-1566,R,38239,R,0,R,1566,R,453864,R
444343,Advanced College,0,R,0,R,0,R,0,R,0,R,0,R,0,R,289664,R,289664,R
238166,Advanced Institute of Hair Design-Glendale,754241,R,0,R,0,Z,0,Z,26773,R,532612,R,0,Z,0,R,1313626,R
231411,Advanced Technology Institute,4039896,R,447321,R,0,Z,17184,R,314268,R,0,Z,460618,R,0,R,5279287,R
423397,Advantage Technical College,543021,R,0,R,0,R,0,R,0,R,85136,R,0,R,0,R,628157,R
161651,Aesthetics Institute of Cosmetology,381803,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,381803,R
134811,AI Miami International University of Art and Design,19426326,R,2088491,R,0,Z,0,Z,0,Z,0,Z,1661874,R,0,R,23176691,R
419147,Ailano School of Cosmetology,710810,R,0,R,0,R,0,R,0,R,25806,R,0,R,2798,R,739414,R
371034,Alabama State College of Barber Styling,72286,R,0,R,0,R,0,R,661,R,0,R,0,R,15803,R,88750,R
103501,Alaska Career College,2583954,R,0,R,0,R,0,R,24873,R,17232,R,0,Z,0,R,2626059,R
187514,Albuquerque Barber College,125117,R,147801,R,0,R,0,R,0,R,5892,R,0,R,0,R,278810,R
158079,Alexandria Academy of Beauty Culture,270736,R,0,R,0,R,0,R,0,R,46298,R,0,R,38606,R,355640,R
368036,Alexandria School of Scientific Therapeutics,875309,R,52646,R,59068,R,0,R,0,R,0,R,76429,R,0,R,1063452,R
393524,Alhambra Beauty College,758228,R,0,R,0,R,0,R,0,R,42522,R,2805,R,0,R,803555,R
210599,All-State Career School,4145854,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,4145854,R
418658,All-State Career School-Pittsburgh,1711750,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,1711750,R
373784,All-State Career-Baltimore,3573360,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,3573360,R
231721,Allegiance Beauty School,112834,R,0,R,0,R,0,R,26280,R,0,R,0,R,3919,R,143033,R
188650,Allen School-Brooklyn,3924211,R,0,R,0,Z,0,Z,1213,R,0,Z,0,Z,0,R,3925424,R
415987,Allen School-Jamaica,4375699,R,0,R,0,Z,0,Z,328,R,0,Z,0,Z,0,R,4376027,R
183901,Allied Medical and Technical Institute,1922431,R,0,R,0,R,0,R,0,R,0,R,0,R,10886,R,1933317,R
248192,Allure Beauty College,79697,R,0,R,0,R,0,R,0,R,24636,R,0,R,0,R,104333,R
436517,Alternative Conjunction Clinic & Sch of Mass Ther,52563,P,0,P,0,P,0,P,0,P,291300,P,0,P,0,P,343863,P
443854,Altierus Career College-Arlington,3492387,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,3492387,R
442727,Altierus Career College-Austin,5801587,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,5801587,R
445461,Altierus Career College-Bissonnet,16454,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,16454,R
438647,Altierus Career College-Chesapeake,6859967,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,6859967,R
126401,Altierus Career College-Colorado Springs,6831049,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,6831049,R
441016,Altierus Career College-Houston Hobby,6055231,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,6055231,R
443748,Altierus Career College-Norcross,4058199,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,4058199,R
445434,Altierus Career College-Orange Park,459910,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,459910,R
