UnitID,Institution Name,Tuition and fees (F9900F3),Imputation/Status Flag For Tuition and fees (F9900F3),Federal appropriations  grants and contracts (F9900F3),Imputation/Status Flag For Federal appropriations  grants and contracts (F9900F3),State and local appropriations  grants and contracts (F9900F3),Imputation/Status Flag For State and local appropriations  grants and contracts (F9900F3),Private grants and contracts (F9900F3),Imputation/Status Flag For Private grants and contracts (F9900F3),Investment income and investment gains (losses) included in net income (F9900F3),Imputation/Status Flag For Investment income and investment gains (losses) included in net income (F9900F3),Sales and services of educational activities (F9900F3),Imputation/Status Flag For Sales and services of educational activities (F9900F3),Sales and services of auxiliary enterprises (F9900F3),Imputation/Status Flag For Sales and services of auxiliary enterprises (F9900F3),Other revenue (F9900F3),Imputation/Status Flag For Other revenue (F9900F3),Total revenues and investment return (F9900F3),Imputation/Status Flag For Total revenues and investment return (F9900F3)
395283,Maric College-Lake Forest,23640877,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,23640877,R
105127,Maricopa Beauty College LLC,214680,R,0,R,0,R,0,R,2748,R,102364,R,0,R,14505,R,334297,R
118374,Marinello School of Beauty,91809,R,129501,R,0,R,0,R,0,R,158184,R,0,R,13030,R,392524,R
118383,Marinello School of Beauty,79148,R,77587,R,0,R,0,R,0,R,72134,R,0,R,16809,R,245678,R
118392,Marinello School of Beauty,92191,R,330517,R,0,R,0,R,0,R,76472,R,0,R,13750,R,512930,R
118417,Marinello School of Beauty,98794,R,197373,R,0,R,0,R,0,R,79239,R,0,R,22928,R,398334,R
118426,Marinello School of Beauty,158740,R,435634,R,0,R,0,R,0,R,97302,R,0,R,39549,R,731225,R
118435,Marinello School of Beauty,125595,R,42041,R,0,R,0,R,0,R,83425,R,0,R,29271,R,280332,R
118444,Marinello School of Beauty,121419,R,34409,R,0,R,0,R,0,R,71457,R,0,R,11553,R,238838,R
118453,Marinello School of Beauty,163418,R,145760,R,0,R,0,R,0,R,96345,R,0,R,40033,R,445556,R
118480,Marinello School of Beauty,170460,R,55288,R,0,R,0,R,0,R,108002,R,0,R,28373,R,362123,R
119827,Marinello School of Beauty,144202,R,82699,R,0,R,0,R,0,R,106936,R,0,R,19394,R,353231,R
113227,Marinello Schools of Beauty-Bell,992615,R,0,R,0,R,0,R,0,R,120000,R,0,R,838321,R,1950936,R
114071,Marinello Schools of Beauty-Burbank,770801,R,0,R,0,R,0,R,0,R,244898,R,0,R,18350,R,1034049,R
128957,Marinello Schools of Beauty-East Hartford,591010,R,0,R,0,R,0,R,0,R,61637,R,0,R,0,R,652647,R
182209,Marinello Schools of Beauty-Las Vegas,244677,R,221881,R,2875,R,0,R,0,R,149737,R,0,R,34050,R,653220,R
380410,Marinello Schools of Beauty-Layton,294194,R,0,R,0,R,0,R,0,R,261194,R,0,R,0,R,555388,R
118356,Marinello Schools of Beauty-Los Angeles,85506,R,277011,R,0,R,0,R,0,R,45902,R,0,R,24716,R,433135,R
154970,Marinello Schools of Beauty-Manhattan,383229,R,0,R,0,R,0,R,280,R,141250,R,0,R,909,R,525668,R
130129,Marinello Schools of Beauty-Meriden,213112,R,0,R,0,R,0,R,0,R,40450,R,0,R,0,R,253562,R
380447,Marinello Schools of Beauty-Ogden,33000,R,0,R,0,R,0,R,0,R,419849,R,0,R,69430,R,522279,R
121008,Marinello Schools of Beauty-Paramount,126124,I,0,I,0,I,0,I,0,I,80819,I,0,I,28475,I,235418,I
380401,Marinello Schools of Beauty-Provo,801762,R,85804,R,0,R,0,R,3834,R,390223,R,0,R,827,R,1282450,R
118921,Marinello Schools of Beauty-San Francisco,200000,R,0,R,133000,R,0,R,0,R,40000,R,0,R,7876960,R,8249960,R
113908,Marinello Schools of Beauty-Santa Clara,196496,R,29405,R,0,R,0,R,0,R,66267,R,0,R,91,R,292259,R
192828,MarJon School of Beauty ltd-Tonawanda,7191488,I,0,I,0,I,0,I,0,I,0,I,0,I,0,I,7191488,I
107275,Marsha Kay Beauty College,8281,R,40124,R,0,R,0,R,124,R,33607,R,0,R,0,R,82136,R
363235,MARSHALL COLLEGE OF BEAUTY,17879,I,28437,I,0,I,0,I,0,I,24015,I,0,I,66879,I,137210,I
240806,MARUGIE BEAUTY AND TECHNICAL COLLEGE,6000,R,0,R,0,R,0,R,0,R,100219,R,0,R,959256,R,1065475,R
163107,Maryland Beauty Academy,175381,R,0,R,0,R,0,R,0,R,2142,R,0,R,0,R,177523,R
163815,Maryland Beauty Academy of Essex,183091,R,0,R,0,R,0,R,0,R,1780,R,0,R,0,R,184871,R
166805,Massachusetts School of Barbering,27605,R,11850,R,8100,R,0,R,0,R,14385,R,0,R,294831,R,356771,R
118569,MASTERS INSTITUTE,14374186,I,0,I,0,I,0,I,159392,I,0,I,1557826,I,929008,I,17020412,I
151829,Masters of Cosmetology College,22121,I,150708,I,11990,I,0,I,7195,I,168994,I,0,I,4530,I,365538,I
436702,Mattia College,922415,R,44539,R,0,R,0,R,8254,R,0,R,0,R,0,R,975208,R
239150,MBTI BUSINESS TRAINING INSTITUTE,1858896,I,0,I,0,I,0,I,0,I,0,I,0,I,283757,I,2142653,I
242884,MBTI Business Training Institute,520554,R,3860340,R,274655,R,0,R,50801,R,310341,R,0,R,0,R,5016691,R
438212,McCann School of Business & Technology,3884178,R,0,R,0,R,0,R,20039,R,0,R,157611,R,0,R,4061828,R
173975,MCCONNELL SCHOOL INC,62435,R,0,R,0,R,0,R,83133,R,0,R,0,R,306872,R,452440,R
182944,McIntosh College,7205808,R,50451,R,0,R,0,R,0,R,0,R,962542,R,96455,R,8315256,R
367194,McNally Smith College of Music,2548115,R,189024,R,258326,R,54645,R,35743,R,45816,R,0,R,3794,R,3135463,R
