UnitID,Institution Name,Tuition and fees (F9900F3),Imputation/Status Flag For Tuition and fees (F9900F3),Federal appropriations  grants and contracts (F9900F3),Imputation/Status Flag For Federal appropriations  grants and contracts (F9900F3),State and local appropriations  grants and contracts (F9900F3),Imputation/Status Flag For State and local appropriations  grants and contracts (F9900F3),Private grants and contracts (F9900F3),Imputation/Status Flag For Private grants and contracts (F9900F3),Investment income and investment gains (losses) included in net income (F9900F3),Imputation/Status Flag For Investment income and investment gains (losses) included in net income (F9900F3),Sales and services of educational activities (F9900F3),Imputation/Status Flag For Sales and services of educational activities (F9900F3),Sales and services of auxiliary enterprises (F9900F3),Imputation/Status Flag For Sales and services of auxiliary enterprises (F9900F3),Other revenue (F9900F3),Imputation/Status Flag For Other revenue (F9900F3),Total revenues and investment return (F9900F3),Imputation/Status Flag For Total revenues and investment return (F9900F3)
187754,Business Skills Institute-Las Cruces,738965,R,0,R,0,R,0,R,0,R,51537,R,0,R,0,R,790502,R
165149,Butera School of Art at Fisher College,563578,R,0,R,0,R,0,R,17621,R,22644,R,0,R,0,R,603843,R
211334,Butler Beauty Academy,305149,R,0,R,0,R,0,R,0,R,110750,R,0,R,0,R,415899,R
213330,Butler Beauty Academy-Kittanning Beauty Academy,127601,R,0,R,0,R,0,R,0,R,21518,R,0,R,0,R,149119,R
367431,Butler Beauty Academy-New Castle Beauty Academy,122343,R,0,R,0,R,0,R,0,R,22461,R,0,R,0,R,144804,R
128762,Butler Business School Inc,1162250,R,0,Z,0,R,32850,R,0,R,0,R,0,R,284702,R,1479802,R
180063,Butte Academy of Beauty Culture,71780,R,0,R,0,R,0,R,0,R,75911,R,0,R,0,R,147691,R
421665,Cadillac Institute of Cosmetology,25625,R,0,R,0,R,0,R,12,R,36813,R,0,R,33174,R,95624,R
419369,CADIMAR COLLEGE,626749,R,0,R,0,R,0,R,0,R,0,R,0,R,73486,R,700235,R
421902,Caguas Central College,44314,R,0,R,0,R,0,R,0,R,400911,R,0,R,0,R,445225,R
379135,Cain's Barber College Inc,312618,R,0,R,0,R,0,R,0,R,358142,R,0,R,0,R,670760,R
189787,Caliber Training Institute,3866013,R,0,R,0,R,0,R,0,R,168785,R,0,R,0,R,4034798,R
433420,California Aeronautical University,6103497,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,6103497,R
110875,California Beauty School,5465,I,0,I,0,I,0,I,3928,I,39550,I,0,I,229979,I,278922,I
110893,CALIFORNIA BUSINESS INSTITUTE,1829407,R,1590952,R,0,R,31427,R,29549,R,0,R,0,R,-1651928,R,1829407,R
110945,California College San Diego,512613,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,512613,R
111054,California Hair Design Academy,2872660,R,0,R,30000,R,0,R,0,R,0,R,47874,R,-2623303,R,327231,R
394554,CALIFORNIA INSTITUTE OF CUSTOMER ENGINEERING,442578,I,0,I,1000,I,18103,I,0,I,38723,I,0,I,0,I,500404,I
394563,CALIFORNIA INSTITUTE OF CUSTOMER ENGINEERING,377996,I,0,I,0,I,0,I,0,I,0,I,0,I,135332,I,513328,I
429289,CALIFORNIA INSTITUTE OF CUSTOMER ENGINEERING,442578,I,0,I,1000,I,18103,I,0,I,38723,I,0,I,0,I,500404,I
110325,CALIFORNIA PARAMEDICAL AND TECHNICAL COLLEGE,974730,I,0,I,0,I,0,I,0,I,45769,I,0,I,727350,I,1747849,I
111230,CALIFORNIA PARAMEDICAL AND TECHNICAL COLLEGE,1293069,I,0,I,0,I,0,I,0,I,136994,I,0,I,419392,I,1849455,I
436535,CALIFORNIA RECORDING INSTITUTE,425225,R,0,R,0,R,0,R,0,R,0,R,0,R,26864,R,452089,R
438896,CALIFORNIA SCHOOL OF MEDICAL SCIENCES,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R
428329,Cambria-Rowe Business College-Indiana,1911357,R,0,R,0,R,26413,R,0,R,30106,R,16752,R,173288,R,2157916,R
211398,Cambria-Rowe Business College-Johnstown,1911357,R,0,R,0,R,26413,R,0,R,30106,R,16752,R,173288,R,2157916,R
417549,Camelot College,1121487,P,450326,P,0,P,0,P,7129,P,3586,P,0,P,440304,P,2022832,P
143464,Cameo Beauty Academy,436481,R,0,R,0,R,0,R,0,R,214161,R,0,R,0,R,650642,R
158440,Cameron College,867417,R,0,R,0,R,0,R,519,R,1952,R,0,R,0,R,869888,R
143507,Cannella School of Hair Design,369614,R,0,R,0,R,0,R,0,R,25518,R,0,R,0,R,395132,R
364821,CANNELLA SCHOOL OF HAIR DESIGN,460764,R,0,R,0,R,0,R,0,R,31810,R,0,R,0,R,492574,R
401481,Cannella School of Hair Design-Blue Island,173155,R,0,R,0,R,0,R,0,R,11954,R,0,R,0,R,185109,R
143482,Cannella School of Hair Design-Chicago,248966,R,0,R,0,R,0,R,0,R,17188,R,0,R,0,R,266154,R
143491,Cannella School of Hair Design-Chicago,538934,R,0,R,0,R,0,R,0,R,37207,R,0,R,0,R,576141,R
143516,Cannella School of Hair Design-Elgin,174630,R,0,R,0,R,0,R,0,R,12056,R,0,R,0,R,186686,R
143473,Cannella School of Hair Design-Villa Park,983474,R,0,R,0,R,0,R,0,R,67897,R,0,R,0,R,1051371,R
430722,CAPE CORAL BEAUTY SCHOOL,39617,I,0,I,0,I,0,I,0,I,59020,I,0,I,83935,I,182572,I
413413,Capella University,8198347,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,8198347,R
223667,Capitol City Careers,716433,R,176280,R,0,R,0,R,526,R,167,R,16000,R,0,R,909406,R
223658,Capitol City Trade and Technical School,877721,R,262784,R,0,R,0,R,38376,R,965,R,68539,R,0,R,1248385,R
365693,Capitol School of Hairstyling and Esthetics,604208,R,0,R,0,R,0,R,1082,R,487846,R,265746,R,57004,R,1415886,R
143552,Capri Beauty College,796110,R,549550,R,0,R,0,R,0,R,314857,R,0,R,0,R,1660517,R
153083,Capri College-Cedar Rapids,717947,R,0,R,0,R,0,R,0,R,280774,R,0,R,12226,R,1010947,R
154448,Capri College-Davenport,678843,R,0,R,0,R,0,R,0,R,236517,R,0,R,21170,R,936530,R
153074,Capri College-Dubuque,582454,R,0,R,0,R,0,R,0,R,304236,R,0,R,20771,R,907461,R
189714,Capri Cosmetology Learning Centers,298357,I,29405,I,0,I,0,I,0,I,66267,I,0,I,-101770,I,292259,I
407391,Capri Institute of Hair Design-Brick,263962,I,0,I,0,I,0,I,0,I,96857,I,0,I,237495,I,598314,I
363077,Capri Institute of Hair Design-Clifton,1903660,I,0,I,0,I,0,I,0,I,41600,I,0,I,-328130,I,1617130,I
407407,Capri Institute of Hair Design-Kenilworth,549163,I,0,I,0,I,0,I,1369,I,247633,I,0,I,-161965,I,636200,I
407425,Capri Institute of Hair Design-Paramus,1575530,R,0,R,0,R,0,R,0,R,41600,R,0,Z,0,R,1617130,R
436854,Capri Institute of Hair Design-Succasunna,442578,I,0,I,1000,I,18103,I,0,I,38723,I,0,I,0,I,500404,I
377759,Capstone College,95093,I,248163,I,757668,I,0,I,0,I,0,I,0,I,-3183,I,1097741,I
364609,Career Academy Inc,0,R,163575,R,0,R,0,R,2376,R,37202,R,0,R,32976,R,236129,R
111513,Career Academy of Beauty,567563,R,158087,R,305000,R,0,R,0,R,315320,R,0,R,178443,R,1524413,R
107220,Career Academy of Hair Design,129244,R,0,R,0,R,0,R,-7234,R,79248,R,0,R,0,R,201258,R
142124,Career Beauty College,76946,R,76946,R,0,R,0,R,0,R,80536,R,0,R,36110,R,270538,R
430786,CAREER BLAZERS LEARNING CENTER OF MELVILLE,0,R,0,R,2272248,R,0,R,0,R,0,R,0,R,119592,R,2391840,R
429429,CAREER CHOICES,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R
181941,Career College of Northern Nevada,1658395,R,501226,R,14272,R,0,R,13154,R,0,R,0,R,0,R,2187047,R
400637,Career Colleges of America,2267602,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,2267602,R
143880,Career Colleges of Chicago,712739,R,0,R,0,R,0,R,0,R,0,R,66384,R,14907,R,794030,R
418162,Career Institute of Health and Technology,11355118,R,814766,R,804200,R,0,R,95329,R,250500,R,5540,R,224442,R,13549895,R
433013,Career Networks Institute,165820,R,0,R,0,R,0,R,0,R,0,R,0,R,345542,R,511362,R
224439,Career Point College,4616021,I,0,I,0,I,0,I,0,I,0,I,0,I,-684178,I,3931843,I
246008,Career Point College,809820,I,0,I,73999,I,0,I,58400,I,15386,I,0,I,1229760,I,2187365,I
420370,Career Technical Institute,2138613,R,0,R,0,R,0,R,0,R,166,R,0,R,0,R,2138779,R
210951,Career Training Academy-Lower Burrell,312940,R,0,R,0,R,0,R,0,R,117131,R,0,R,0,R,430071,R
408312,Career Training Academy-Monroeville,395089,R,0,R,0,R,0,R,0,R,158375,R,0,R,0,R,553464,R
372480,Career Training Institute,589213,R,0,R,0,R,0,R,0,R,33625,R,0,R,0,R,622838,R
224536,Careers Unlimited,195382,R,0,R,0,R,0,R,0,R,22099,R,0,R,0,R,217481,R
415376,Careers Unlimited Beauty School,810936,R,0,R,0,R,0,R,0,R,30003,R,0,R,5192,R,846131,R
241289,CARIBBEAN BEAUTY AND TECHNICAL INSTITUTE INC,6356,I,0,I,0,I,0,I,0,I,100219,I,0,I,958900,I,1065475,I
418746,CARIBBEAN BEAUTY AND TECHNICAL INSTITUTE INC,805550,I,0,I,0,I,0,I,0,I,0,I,0,I,-334754,I,470796,I
169187,Carnegie Institute,2000,R,178096,R,0,R,0,R,0,R,990216,R,0,R,24025,R,1194337,R
198349,CAROLINA BEAUTY COLLEGE 2,1027586,R,0,R,0,R,0,R,0,R,445725,R,0,R,426267,R,1899578,R
201618,Carousel Beauty College-Dayton,2565142,I,0,I,0,I,0,I,-129818,I,57076,I,0,I,-1600609,I,891791,I
416980,Carousel Beauty College-Kettering,1003654,I,0,I,0,I,0,I,2936,I,0,I,0,I,6268,I,1012858,I
201609,Carousel Beauty College-Middletown,526380,I,0,I,0,I,0,I,-129818,I,57076,I,0,I,438153,I,891791,I
416971,Carousel Beauty College-Springfield,1003654,I,0,I,0,I,0,I,2936,I,0,I,0,I,6268,I,1012858,I
201627,Carousel of Miami Valley Beauty College,1003654,I,0,I,0,I,0,I,2936,I,0,I,0,I,6268,I,1012858,I
437927,Carrington College California-Antioch,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R
142054,Carrington College-Boise,1203050,P,345206,P,0,P,0,P,0,P,0,P,0,P,49968,P,1598224,P
103909,Carrington College-Mesa,1751420,R,0,R,0,R,0,R,0,R,0,R,0,R,10493,R,1761913,R
250601,Carrington College-Phoenix East,1819036,R,0,R,0,R,0,R,0,R,0,R,0,R,2438,R,1821474,R
103893,Carrington College-Phoenix North,2368301,R,0,R,0,R,0,R,0,R,0,R,0,R,15086,R,2383387,R
246035,Carrington College-Portland,2806740,R,0,R,0,R,0,R,0,R,0,R,0,R,9517,R,2816257,R
125532,Carrington College-Sacramento,12843644,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,12843644,R
437936,Carrington College-San Jose,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R
103927,Carrington College-Tucson,1590045,R,0,R,0,R,0,R,0,R,0,R,0,R,6737,R,1596782,R
409166,Carson City Beauty Academy,218761,R,0,R,0,R,0,R,0,R,85587,R,0,R,73696,R,378044,R
419156,Carsten Institute of Cosmetology,911960,R,0,R,3990,R,5410,R,12634,R,394275,R,0,R,3057,R,1331326,R
203438,Casal Aveda Institute,0,R,0,R,0,R,0,R,0,R,158408,R,26,R,123969,R,282403,R
165255,Catherine Hinds Institute of Esthetics,1412464,R,0,R,0,R,0,R,0,R,64818,R,0,R,222718,R,1700000,R
375647,CC's Cosmetology College,430599,R,0,R,0,R,0,R,0,R,73719,R,0,R,0,R,504318,R
160126,Celebrity Stylist Beauty School,83667,R,0,R,0,R,0,R,0,R,54901,R,0,R,0,R,138568,R
379782,Center for Advanced Legal Studies,1113457,R,340857,R,0,R,0,R,4831,R,1960,R,0,R,34022,R,1495127,R
211495,Center for Innovative Training and Education,583379,I,0,I,0,I,0,I,0,I,42153,I,25683,I,210760,I,861975,I
419183,Central California School of Continuing Education,702997,R,0,R,0,R,0,R,0,R,150,R,0,R,305812,R,1008959,R
378105,Central Coast College,1422605,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,1422605,R
417725,Central College of Cosmetology,26279,R,119365,R,0,R,0,R,0,R,25323,R,0,R,0,R,170967,R
206932,Central Oklahoma College,668551,R,305687,R,0,R,0,R,0,R,0,R,0,R,-305687,R,668551,R
211477,Central Penn College,4907398,R,0,R,0,R,0,R,90270,R,0,R,1584341,R,0,R,6582009,R
246460,Central Texas Beauty College-Round Rock,302990,R,284990,R,18000,R,0,R,0,R,57616,R,0,R,19645,R,683241,R
383464,Central Texas Beauty College-Temple,158597,I,0,I,0,I,0,I,0,I,109071,I,0,I,2282,I,269950,I
223825,CENTRAL TEXAS COMMERCIAL COLLEGE,1020663,R,0,R,0,R,0,R,0,R,1,R,0,R,999,R,1021663,R
420024,Centura College-Chesapeake,1370203,R,0,R,0,R,0,R,0,R,195754,R,0,R,246,R,1566203,R
377449,Centura College-Newport News,2117447,R,0,R,62822,R,0,R,0,R,275272,R,0,R,0,R,2455541,R
377458,Centura College-Norfolk,3768550,R,0,R,0,R,0,R,0,R,389195,R,0,R,984338,R,5142083,R
427982,Centura College-Richmond Main,1762509,R,0,R,0,R,0,R,0,R,0,R,0,R,36529,R,1799038,R
232016,Centura College-Virginia Beach,323540,R,0,R,0,R,0,R,0,R,0,R,0,R,2263143,R,2586683,R
374705,CENTURY UNIVERSITY,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R
177153,Chamberlain College of Nursing–St Louis Campus,1998269,R,0,R,0,R,0,R,0,R,12200,R,0,R,0,R,2010469,R
223852,Charles and Sues School of Hair Design,304857,R,0,R,0,R,0,R,9169,R,134604,R,0,R,21413,R,470043,R
104391,Charles of Italy Beauty College,306213,I,0,I,0,I,0,I,0,I,12056,I,0,I,-131583,I,186686,I
418171,Charles Stuart School of Diamond Setting,152500,R,70500,R,40500,R,0,R,19000,R,19500,R,0,R,0,R,302000,R
217794,Charleston Cosmetology Institute,545350,R,0,R,0,R,0,R,2262,R,149223,R,0,R,0,R,696835,R
237303,Charleston School of Beauty Culture,452999,I,0,I,0,I,0,I,0,I,158375,I,0,I,-57910,I,553464,I
201742,CHARMAYNE BEAUTY ACADEMY,1741350,I,35622,I,19266,I,0,I,34499,I,68492,I,563043,I,6688,I,2468960,I
102845,Charter College,3226770,R,0,R,0,R,0,R,67750,R,1355732,R,51827,R,0,R,4702079,R
434317,Charter College-Canyon Country,1387284,R,0,R,0,R,0,R,0,R,0,R,0,R,-311381,R,1075903,R
217828,Charzanne Beauty College,48308,I,0,I,0,I,0,I,0,I,129956,I,0,I,152615,I,330879,I
369774,Chase School of Medical Transcription,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R
261898,CHATTANOOGA BARBER COLLEGE,49889,I,0,I,0,I,0,I,0,I,65310,I,0,I,134857,I,250056,I
220118,Chattanooga College Medical Dental and Technical Careers,658754,R,296193,R,22312,R,0,R,0,R,0,R,0,R,55920,R,1033179,R
240709,Cheeks Beauty Academy,111819,R,0,R,0,R,0,R,0,R,89505,R,238242,R,275695,R,715261,R
189954,Cheryl Fells School of Business,118412,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,118412,R
417798,Cheveux School of Hair Design,325996,I,0,I,0,I,0,I,0,I,167905,I,5163,I,50662,I,549726,I
437732,Chicago School of Professional Psychology-College of Nursing,454805,R,189193,R,246892,R,0,R,0,R,1610,R,0,R,0,R,892500,R
176992,Chillicothe Beauty Academy Inc,78314,R,0,R,0,R,0,R,0,R,53266,R,0,R,0,R,131580,R
175494,Chris Beauty College,558482,R,0,R,0,R,0,R,0,R,136706,R,0,R,-338237,R,356951,R
211626,CHURCHMAN BUSINESS SCHOOL,367927,R,0,R,0,R,0,R,1880,R,28099,R,0,R,0,R,397906,R
365912,City College Inc,1971834,R,0,R,130940,R,0,R,0,R,50000,R,0,R,16745,R,2169519,R
206969,Claremore Beauty College,64740,R,0,R,0,R,0,R,0,R,41179,R,0,R,0,R,105919,R
237321,Clarksburg Beauty Academy and School of Massage Therapy,444927,R,0,R,0,R,0,R,0,R,33685,R,11168,R,0,R,489780,R
365392,Clearfield Beauty Academy,48853,R,32035,R,9625,R,6350,R,15222,R,8451,R,23098,R,1,R,143635,R
202055,Cleveland Institute of Dental-Medical Assistants-Cleveland,770983,R,1293425,R,157325,R,13175,R,30471,R,258604,R,0,R,0,R,2523983,R
366155,Cloyd's Barber School 2 Inc,113797,R,0,R,0,R,0,R,0,R,23991,R,0,R,0,R,137788,R
158538,Cloyd's Beauty School 1 Inc,95681,R,0,R,0,R,0,R,0,R,22331,R,0,R,0,R,118012,R
248527,Cloyd's Beauty School 3 Inc,124900,R,0,R,0,R,0,R,0,R,19532,R,0,R,0,R,144432,R
429155,COASTAL VALLEY COLLEGE,213381,R,0,R,0,R,0,R,0,R,0,R,0,R,80428,R,293809,R
112455,Coba Academy,166512,R,0,R,0,R,0,R,0,R,57600,R,0,R,0,R,224112,R
