UnitID,Institution Name,Tuition and fees (F1213_F3_RV),Imputation/Status Flag For Tuition and fees (F1213_F3_RV),Federal appropriations  grants and contracts (F1213_F3_RV),Imputation/Status Flag For Federal appropriations  grants and contracts (F1213_F3_RV),State and local appropriations  grants and contracts (F1213_F3_RV),Imputation/Status Flag For State and local appropriations  grants and contracts (F1213_F3_RV),Private grants and contracts (F1213_F3_RV),Imputation/Status Flag For Private grants and contracts (F1213_F3_RV),Investment income and investment gains (losses) included in net income (F1213_F3_RV),Imputation/Status Flag For Investment income and investment gains (losses) included in net income (F1213_F3_RV),Sales and services of educational activities (F1213_F3_RV),Imputation/Status Flag For Sales and services of educational activities (F1213_F3_RV),Sales and services of auxiliary enterprises (F1213_F3_RV),Imputation/Status Flag For Sales and services of auxiliary enterprises (F1213_F3_RV),Other revenue (F1213_F3_RV),Imputation/Status Flag For Other revenue (F1213_F3_RV),Total revenues and investment return (F1213_F3_RV),Imputation/Status Flag For Total revenues and investment return (F1213_F3_RV)
457590,A & W Healthcare Educators,554105,R,16058,R,0,R,0,R,0,Z,0,Z,,A,103943,R,674106,R
161615,Aaron's Academy of Beauty,465374,R,0,R,0,Z,0,Z,0,Z,0,Z,,A,0,R,465374,R
459523,ABC Beauty Academy,296928,R,0,R,3268,R,0,Z,0,Z,226,R,,A,0,R,300422,R
106281,ABC Beauty College Inc,131951,R,214179,R,11772,R,0,R,2532,R,16426,R,,A,0,R,376860,R
461892,Abcott Institute,1836919,R,0,R,0,R,0,R,0,R,0,R,,A,0,R,1836919,R
208123,Abdill Career College Inc,684002,R,0,Z,0,Z,0,Z,0,Z,0,Z,,A,0,R,684002,R
480444,Abraham Lincoln University,1339096,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,1339096,R
421896,Academia Serrant Inc,490544,R,1557605,R,32980,R,0,R,0,R,0,R,,A,0,R,2081129,R
172866,Academy College,1325046,R,400356,R,66482,R,2300,R,0,R,285562,R,77313,R,0,R,2157059,R
449463,Academy Di Capelli-School of Cosmetology,865853,R,285363,R,0,Z,0,Z,0,Z,0,Z,,A,124844,R,1276060,R
476957,Academy di Firenze,25301,R,47713,R,0,R,0,R,0,R,35281,R,,A,0,R,108295,R
461980,Academy for Salon Professionals,2078728,R,0,Z,0,Z,0,Z,-13414,R,328909,R,,A,38524,R,2432747,R
462062,Academy for Salon Professionals,1059062,R,0,R,0,R,0,R,30775,R,174112,R,,A,0,R,1263949,R
461616,Academy of Aesthetic Arts,353650,R,0,R,0,R,0,R,0,R,89921,R,,A,1100,R,444671,R
108232,Academy of Art University,287679402,R,0,R,0,R,0,R,1069888,R,0,R,19203501,R,0,R,307952791,R
451097,Academy of Career Training,1395121,R,0,Z,0,Z,0,Z,1602,R,235176,R,,A,0,R,1631899,R
372462,Academy of Cosmetology,1490496,R,778601,R,0,R,0,R,0,R,337821,R,,A,0,R,2606918,R
449852,Academy of Cosmetology,532612,R,0,Z,0,Z,0,Z,0,Z,65860,R,,A,0,R,598472,R
459569,Academy of Cosmetology,243718,R,0,R,0,R,0,R,0,R,53011,R,,A,0,R,296729,R
457855,Academy of Cosmetology and Esthetics NYC,1521968,R,0,R,0,R,0,R,0,R,370450,R,,A,0,R,1892418,R
179991,Academy of Cosmetology Inc,242874,R,120082,R,0,R,0,R,379,R,87917,R,,A,0,R,451252,R
454722,Academy of Esthetics and Cosmetology,53669,R,209743,R,0,Z,0,Z,456,R,14260,R,,A,0,R,278128,R
175722,Academy of Hair Design-Grenada,225137,R,0,R,0,R,0,R,0,R,48210,R,,A,0,R,273347,R
374316,Academy of Hair Design-Jackson,558898,R,0,R,0,R,0,R,442,R,124330,R,,A,0,R,683670,R
447449,Academy of Hair Design-Jasper,169800,R,264500,R,9500,R,0,R,0,R,19500,R,,A,900,R,464200,R
181880,Academy of Hair Design-Las Vegas,2014750,R,609984,R,0,R,0,R,0,R,312799,R,,A,0,R,2937533,R
434274,Academy of Hair Design-Lufkin,347300,R,205100,R,0,R,0,R,0,R,57100,R,,A,0,R,609500,R
455929,Academy of Hair Design-Oklahoma City,520092,R,0,R,0,R,0,R,0,R,186361,R,,A,0,R,706453,R
382461,Academy of Hair Design-Pearl,341264,R,0,R,0,R,0,R,99,R,114235,R,,A,0,R,455598,R
208080,Academy of Hair Design-Salem,246774,R,350283,R,0,R,0,R,0,R,111826,R,,A,0,R,708883,R
451334,Academy of Hair Design-Springfield,581328,R,347983,R,111623,R,0,Z,1048,R,154875,R,,A,0,R,1196857,R
376446,Academy of Hair Technology,584079,R,0,Z,0,Z,0,Z,0,Z,101336,R,,A,0,R,685415,R
451051,Academy of Massage and Bodywork,527847,R,0,R,0,R,0,R,0,R,27981,R,,A,399,R,556227,R
437501,Academy of Massage Therapy,1061360,R,0,R,0,R,0,R,0,R,131179,R,,A,0,R,1192539,R
449454,Academy of Natural Therapy Inc,761240,R,0,Z,0,Z,0,Z,0,Z,125194,R,0,Z,0,R,886434,R
136048,Academy of Palm Beach,498382,R,356330,R,0,R,0,R,0,R,151875,R,,A,0,R,1006587,R
107293,Academy of Salon and Spa,476028,R,336189,R,0,Z,0,Z,0,Z,187475,R,,A,7706,R,1007398,R
480879,Academy of Salon Professionals,106111,R,0,Z,0,Z,0,Z,0,Z,47732,R,,A,0,R,153843,R
461342,Acaydia School of Aesthetics,243297,R,0,R,0,R,0,R,0,R,245005,R,,A,0,R,488302,R
476504,Access Careers,847731,R,164050,R,0,Z,0,Z,0,Z,0,Z,,A,2363,R,1014144,R
480736,Ace Cosmetology and Barber Training Center,91497,R,0,R,0,R,0,R,0,R,0,R,,A,0,R,91497,R
449676,Ace Institute of Technology,1285428,R,0,R,0,R,0,R,0,R,87542,R,,A,0,R,1372970,R
439969,Acupuncture and Massage College,2094447,R,333054,R,14860,R,0,R,0,R,0,R,0,R,132196,R,2574557,R
419314,Adirondack Beauty School,199407,R,78844,R,14915,R,0,R,0,R,13484,R,,A,360,R,307010,R
262369,Adrian's Beauty College of Turlock,913126,R,493563,R,44007,R,0,Z,0,Z,207976,R,,A,0,R,1658672,R
400187,Advance Beauty College,1505746,R,0,R,0,R,0,R,0,R,399857,R,,A,0,R,1905603,R
479974,Advance Beauty Techs Academy,264036,R,202732,R,0,R,0,R,0,R,9761,R,,A,6,R,476535,R
444334,Advance Science International College,70915,R,220779,R,0,R,0,R,1973,R,0,R,,A,383950,R,677617,R
444352,Advance Tech College,1558889,R,0,R,0,R,0,R,0,R,0,R,,A,10,R,1558899,R
437608,Advanced Barber College and Hair Design,351417,R,844186,R,0,R,0,R,0,R,81473,R,,A,0,R,1277076,R
458052,Advanced Beauty College,298172,R,171495,R,0,R,17000,R,0,R,9526,R,,A,0,R,496193,R
480019,Advanced Career Institute,722020,R,0,R,0,R,0,R,0,R,152161,R,,A,956418,R,1830599,R
444343,Advanced College,1755155,R,764838,R,35692,R,0,R,0,R,0,R,0,R,0,R,2555685,R
461786,Advanced College of Cosmetology,422250,R,0,Z,0,Z,0,Z,1118,R,120237,R,,A,0,R,543605,R
481234,Advanced Computing Institute,950505,R,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,19278,R,969783,R
238166,Advanced Institute of Hair Design-Glendale,1558367,R,0,Z,0,Z,0,Z,0,Z,454300,R,,A,0,R,2012667,R
467809,Advanced Institute of Hair Design-Madison,1153041,R,0,Z,0,Z,0,Z,0,Z,610008,R,,A,0,R,1763049,R
231411,Advanced Technology Institute,9819203,R,2527805,R,0,R,188408,R,11245,R,0,Z,842512,R,0,R,13389173,R
461430,Advanced Training Institute,2554423,R,0,R,0,R,0,R,54090,R,0,R,,A,0,R,2608513,R
456001,Advanced Welding Institute,455138,R,0,R,0,R,0,R,0,R,2100,R,,A,285913,R,743151,R
423397,Advantage Technical College,325511,R,0,R,0,R,0,R,0,R,0,R,,A,0,R,325511,R
476878,Aesthetic Science Institute,581735,R,0,R,0,R,0,R,0,R,62891,R,,A,0,R,644626,R
161651,Aesthetics Institute of Cosmetology,611927,R,0,Z,0,Z,0,Z,0,Z,0,Z,,A,0,R,611927,R
134811,AI Miami International University of Art and Design,64417319,R,10168478,R,1009762,R,0,R,0,R,0,R,4459937,R,0,R,80055496,R
457998,Aiken School of Cosmetology and Barbering,323720,R,0,R,0,R,0,R,0,R,99450,R,,A,57604,R,480774,R
419147,Ailano School of Cosmetology,399053,R,125213,R,0,Z,0,Z,0,Z,7349,R,,A,0,R,531615,R
371034,Alabama State College of Barber Styling,115438,R,0,Z,0,Z,0,Z,0,Z,26471,R,,A,0,R,141909,R
103501,Alaska Career College,4589278,R,0,Z,0,Z,0,Z,117585,R,60238,R,0,Z,0,R,4767101,R
476735,Alexander Academy,175839,N,0,N,0,N,0,N,0,N,0,N,,A,117607,N,293446,N
368036,Alexandria School of Scientific Therapeutics,324543,R,113121,R,4163,R,0,R,0,R,0,R,,A,72708,R,514535,R
393524,Alhambra Beauty College,53855,R,797523,R,0,R,0,R,757,R,221049,R,,A,0,R,1073184,R
459125,All Beauty College,536691,R,0,Z,0,Z,0,Z,0,Z,63749,R,,A,0,R,600440,R
210599,All-State Career School,6110209,R,0,R,0,R,0,R,0,R,0,R,,A,0,R,6110209,R
474997,All-State Career School-Health Sciences,6131856,R,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,6131856,R
418658,All-State Career School-Pittsburgh,5224901,R,0,R,0,R,0,R,0,R,0,R,,A,0,R,5224901,R
373784,All-State Career-Baltimore,26984424,R,0,R,0,R,0,R,0,R,0,R,,A,0,R,26984424,R
231721,Allegiance Beauty School,311818,R,275421,R,0,R,0,R,0,R,110355,R,,A,0,R,697594,R
188650,Allen School-Brooklyn,8065567,R,0,R,0,R,0,R,7277,R,0,R,,A,0,R,8072844,R
415987,Allen School-Jamaica,6493698,R,0,R,0,R,0,R,4119,R,0,R,,A,0,R,6497817,R
469610,Allen School-Phoenix,7721777,R,0,R,0,R,0,R,610,R,0,R,,A,0,R,7722387,R
460729,Allied American University,7741512,R,0,R,0,R,0,R,7245,R,0,R,0,R,0,R,7748757,R
367316,Allied Health Careers,2711521,R,851246,R,4419,R,0,R,21201,R,0,R,0,R,14797,R,3603184,R
461111,Allstate Hairstyling & Barber College,221778,R,0,R,0,R,0,R,0,R,204351,R,,A,38819,R,464948,R
248192,Allure Beauty College,185978,R,0,R,0,R,0,R,0,R,59096,R,,A,0,R,245074,R
363590,Altierus Career College Everett,6733655,R,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,6733655,R
443854,Altierus Career College-Arlington,8685681,R,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,8685681,R
467784,Altierus Career College-Atlanta West,8368116,R,0,Z,0,Z,0,Z,0,Z,0,Z,,A,0,R,8368116,R
442727,Altierus Career College-Austin,14029841,R,0,Z,0,Z,0,Z,0,Z,0,Z,,A,0,R,14029841,R
445461,Altierus Career College-Bissonnet,12830708,R,0,Z,0,Z,0,Z,0,Z,0,Z,,A,0,R,12830708,R
438647,Altierus Career College-Chesapeake,10200145,R,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,10200145,R
126401,Altierus Career College-Colorado Springs,5255983,R,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,5255983,R
447209,Altierus Career College-Columbus,6052877,R,0,Z,0,Z,0,Z,0,Z,0,Z,,A,0,R,6052877,R
460358,Altierus Career College-Fort Worth South,6554185,R,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,6554185,R
441016,Altierus Career College-Houston Hobby,8032548,R,0,Z,0,Z,0,Z,0,Z,0,Z,,A,0,R,8032548,R
443748,Altierus Career College-Norcross,7114968,R,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,7114968,R
445434,Altierus Career College-Orange Park,9451685,R,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,9451685,R
227003,Altierus Career College-San Antonio,7941094,R,0,Z,0,Z,0,Z,0,Z,0,Z,,A,0,R,7941094,R
444024,Altierus Career College-Tacoma,12582576,R,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,12582576,R
137801,Altierus Career College-Tampa,11399420,R,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,11399420,R
127787,Altierus Career College-Thornton,5822944,R,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,5822944,R
442620,Altierus Career College-Tigard,4102987,R,0,Z,0,Z,0,Z,0,Z,0,Z,,A,0,R,4102987,R
480329,Altierus Career College-Woodbridge,4803946,R,0,Z,0,Z,0,Z,0,Z,0,Z,,A,0,R,4803946,R
449269,Altierus Career Education-South Plainfield,9135336,R,0,Z,0,Z,0,Z,0,Z,0,Z,,A,0,R,9135336,R
171322,Altierus Career Education-Southfield,12217395,R,0,Z,0,Z,0,Z,0,Z,0,Z,,A,0,R,12217395,R
210748,Altoona Beauty School Inc,503847,R,173771,R,28113,R,0,R,5606,R,150557,R,,A,0,R,861894,R
447254,Alvareitas College of Cosmetology-Belleville,149784,R,0,R,0,R,0,R,0,R,52694,R,,A,184,R,202662,R
142869,Alvareitas College of Cosmetology-Edwardsville,200578,R,0,R,0,R,0,R,0,R,90097,R,,A,0,R,290675,R
142878,Alvareitas College of Cosmetology-Godfrey,217544,R,0,R,0,R,0,R,0,R,108079,R,,A,185032,R,510655,R
476771,Ambiance Beauty & Barber Academy Inc,226057,R,0,R,0,R,0,Z,0,Z,9593,R,,A,0,R,235650,R
457527,Ambria College of Nursing,3907617,R,0,R,0,R,0,R,4410,R,205664,R,0,Z,0,R,4117691,R
142887,American Academy of Art College,9382840,R,876698,R,540317,R,0,R,61410,R,0,R,0,R,0,R,10861265,R
457396,American Academy of Cosmetology,608226,R,369552,R,0,R,0,R,0,Z,68229,R,,A,246,R,1046253,R
461290,American Academy of Health and Beauty,706536,R,0,R,0,R,0,R,0,R,22097,R,,A,0,R,728633,R
446002,American Academy of Health and Wellness,835233,R,0,R,0,R,0,R,11288,R,541191,R,0,R,2770,R,1390482,R
481164,American Academy of Personal Training,1047683,R,0,R,0,R,0,R,0,R,0,R,,A,0,R,1047683,R
444370,American Advanced Technicians Institute,1648078,R,0,R,0,R,0,R,0,R,419418,R,,A,45312,R,2112808,R
431637,American Beauty Academy,10774219,R,0,R,0,R,0,R,0,R,356674,R,,A,0,R,11130893,R
459541,American Beauty Academy,311847,R,0,R,0,R,0,R,0,R,82968,R,,A,0,R,394815,R
108977,American Beauty College,746654,R,0,R,0,R,0,R,0,R,40183,R,,A,6278,R,793115,R
365453,American Beauty Institute,90943,R,0,R,0,R,0,R,0,R,0,Z,,A,86618,R,177561,R
189477,American Beauty School,1743485,R,0,Z,0,Z,0,Z,0,Z,48325,R,,A,0,R,1791810,R
