UnitID,Institution Name,Tuition and fees (F1011_F3_RV),Imputation/Status Flag For Tuition and fees (F1011_F3_RV),Federal appropriations  grants and contracts (F1011_F3_RV),Imputation/Status Flag For Federal appropriations  grants and contracts (F1011_F3_RV),State and local appropriations  grants and contracts (F1011_F3_RV),Imputation/Status Flag For State and local appropriations  grants and contracts (F1011_F3_RV),Private grants and contracts (F1011_F3_RV),Imputation/Status Flag For Private grants and contracts (F1011_F3_RV),Investment income and investment gains (losses) included in net income (F1011_F3_RV),Imputation/Status Flag For Investment income and investment gains (losses) included in net income (F1011_F3_RV),Sales and services of educational activities (F1011_F3_RV),Imputation/Status Flag For Sales and services of educational activities (F1011_F3_RV),Sales and services of auxiliary enterprises (F1011_F3_RV),Imputation/Status Flag For Sales and services of auxiliary enterprises (F1011_F3_RV),Other revenue (F1011_F3_RV),Imputation/Status Flag For Other revenue (F1011_F3_RV),Total revenues and investment return (F1011_F3_RV),Imputation/Status Flag For Total revenues and investment return (F1011_F3_RV)
457590,A & W Healthcare Educators,288018,R,288018,R,0,R,0,R,0,R,20645,R,,A,0,R,596681,R
436526,A.B.I. School of Barbering & Cosmetology of Chelsea Inc.,805432,R,347244,R,0,Z,0,Z,0,Z,82541,R,,A,0,R,1235217,R
161615,Aaron's Academy of Beauty,401188,R,0,R,0,R,0,R,0,R,0,R,,A,0,R,401188,R
459523,ABC Beauty Academy,133527,R,0,Z,0,Z,0,Z,0,Z,83,R,,A,0,R,133610,R
106281,ABC Beauty College Inc,89148,R,298496,R,0,Z,0,R,214,R,26145,R,,A,11378,R,425381,R
461892,Abcott Institute,1027871,R,0,R,0,Z,0,R,0,R,0,R,,A,0,R,1027871,R
208123,Abdill Career College Inc,1051260,R,0,Z,0,Z,0,Z,0,Z,0,Z,,A,0,R,1051260,R
421896,Academia Serrant Inc,425663,R,1621726,R,29216,R,0,R,0,R,0,R,,A,0,R,2076605,R
172866,Academy College,1684544,R,649244,R,50841,R,6100,R,0,R,286785,R,65029,R,0,R,2742543,R
449463,Academy Di Capelli-School of Cosmetology,518719,R,170860,R,0,R,0,R,0,R,0,R,,A,74159,R,763738,R
461980,Academy for Salon Professionals,1225418,R,77130,R,0,R,0,R,26193,R,261885,R,,A,0,R,1590626,R
462062,Academy for Salon Professionals,369711,R,0,R,0,R,0,R,0,R,96654,R,,A,0,R,466365,R
461616,Academy of Aesthetic Arts,320041,R,0,R,0,R,0,R,0,R,124884,R,,A,0,R,444925,R
108232,Academy of Art University,276699134,R,0,R,0,R,0,R,181250,R,0,Z,18138528,R,0,R,295018912,R
451097,Academy of Career Training,1146535,R,0,R,0,R,0,R,0,R,240961,R,,A,0,R,1387496,R
372462,Academy of Cosmetology,1299276,R,572506,R,0,R,0,R,0,R,223184,R,,A,0,R,2094966,R
409209,Academy of Cosmetology,1424031,R,0,Z,0,Z,0,Z,0,Z,223730,R,,A,0,R,1647761,R
449852,Academy of Cosmetology,621586,R,0,R,0,R,0,R,0,R,45964,R,,A,0,R,667550,R
459569,Academy of Cosmetology,90237,R,0,R,0,R,0,R,260,R,46730,R,,A,0,R,137227,R
457855,Academy of Cosmetology and Esthetics NYC,1599613,R,0,R,0,R,0,R,0,R,397307,R,,A,0,R,1996920,R
179991,Academy of Cosmetology Inc,272242,R,0,R,0,R,0,R,692,R,92900,R,,A,3452,R,369286,R
450438,Academy of Court Reporting and Technology-Pittsburgh,764276,R,0,Z,0,Z,0,Z,0,Z,0,Z,74367,R,2744,R,841387,R
363457,Academy of Court Reporting-Clawson,2637629,R,0,Z,0,Z,0,Z,0,Z,0,Z,,A,91827,R,2729456,R
454722,Academy of Esthetics and Cosmetology,88994,R,170426,R,0,R,0,R,0,R,0,Z,,A,245,R,259665,R
175722,Academy of Hair Design-Grenada,230068,R,0,R,0,R,0,R,108,R,43931,R,,A,0,R,274107,R
374316,Academy of Hair Design-Jackson,568938,R,0,R,0,R,0,R,1360,R,144182,R,,A,0,R,714480,R
447449,Academy of Hair Design-Jasper,338600,R,8700,R,9000,R,0,R,0,R,43100,R,,A,0,R,399400,R
181880,Academy of Hair Design-Las Vegas,2233539,R,0,R,0,R,0,R,0,R,326077,R,,A,0,R,2559616,R
434274,Academy of Hair Design-Lufkin,345500,R,203550,R,0,R,0,R,0,R,56550,R,,A,0,R,605600,R
455929,Academy of Hair Design-Oklahoma City,858195,R,0,R,0,R,0,R,0,R,216068,R,,A,0,R,1074263,R
382461,Academy of Hair Design-Pearl,411347,R,0,R,0,R,0,R,13,R,91653,R,,A,0,R,503013,R
208080,Academy of Hair Design-Salem,562743,R,0,R,0,R,0,R,0,R,95113,R,,A,0,R,657856,R
451334,Academy of Hair Design-Springfield,530466,R,461234,R,82423,R,0,R,1664,R,171098,R,,A,0,R,1246885,R
376446,Academy of Hair Technology,1123902,R,0,R,0,R,6463,R,1679,R,80641,R,,A,7394,R,1220079,R
451051,Academy of Massage and Bodywork,429561,R,0,R,0,R,0,R,0,R,26870,R,,A,0,R,456431,R
437501,Academy of Massage Therapy,1891843,R,0,R,0,R,0,R,0,R,141514,R,,A,0,R,2033357,R
449454,Academy of Natural Therapy Inc,851275,R,0,R,0,R,0,R,0,R,83294,R,0,R,0,R,934569,R
136048,Academy of Palm Beach,989970,R,0,R,0,R,0,R,0,R,141393,R,,A,0,R,1131363,R
107293,Academy of Salon and Spa,644122,R,354504,R,0,R,0,R,0,R,100779,R,,A,7951,R,1107356,R
410034,Academy of Somatic Healing Arts,1622272,R,0,R,0,R,0,R,3,R,121102,R,,A,186955,R,1930332,R
461342,Acaydia School of Aesthetics,542405,R,104564,R,0,R,0,R,0,R,112232,R,,A,0,R,759201,R
449676,Ace Institute of Technology,1406076,R,0,R,0,R,0,R,0,R,70298,R,,A,0,R,1476374,R
419022,ACT College,3043692,N,2766964,N,0,N,0,N,0,N,0,N,0,N,20153,N,5830809,N
439969,Acupuncture and Massage College,1696427,R,267282,R,11130,R,0,R,0,R,0,R,0,R,165500,R,2140339,R
419314,Adirondack Beauty School,151909,R,81646,R,11045,R,0,R,60,R,22480,R,,A,5,R,267145,R
262369,Adrian's Beauty College of Turlock,1028847,R,0,R,33528,R,0,R,0,R,169185,R,,A,0,R,1231560,R
400187,Advance Beauty College,1796528,R,0,R,0,R,0,R,0,R,0,R,,A,0,R,1796528,R
444334,Advance Science International College,156316,R,1394963,R,0,R,0,R,4534,R,0,R,,A,0,R,1555813,R
444352,Advance Tech College,29521,R,1188309,R,146538,R,15358,R,0,R,0,R,,A,0,R,1379726,R
437608,Advanced Barber College and Hair Design,117820,R,495884,R,18070,R,0,Z,0,Z,58240,R,,A,118764,R,808778,R
458052,Advanced Beauty College,178205,R,73718,R,19795,R,20900,R,0,R,16822,R,,A,10362,R,319802,R
444343,Advanced College,4272541,R,1257306,R,0,R,0,R,0,R,0,R,0,R,0,R,5529847,R
461786,Advanced College of Cosmetology,432835,R,0,R,0,R,0,R,1118,R,141960,R,,A,0,R,575913,R
238166,Advanced Institute of Hair Design-Glendale,1331861,R,0,Z,0,Z,0,Z,0,Z,559541,R,,A,0,R,1891402,R
467809,Advanced Institute of Hair Design-Madison,1455825,R,0,Z,0,Z,0,Z,0,Z,742781,R,,A,0,R,2198606,R
231411,Advanced Technology Institute,12399998,R,3861044,R,0,Z,0,Z,14014,R,0,Z,1309671,R,0,R,17584727,R
461430,Advanced Training Institute,1824200,R,0,R,0,R,0,R,109841,R,0,R,,A,0,R,1934041,R
456001,Advanced Welding Institute,323544,R,0,R,0,R,0,R,0,R,5550,R,,A,172681,R,501775,R
423397,Advantage Technical College,602402,R,0,R,0,R,0,R,0,R,0,R,,A,0,R,602402,R
161651,Aesthetics Institute of Cosmetology,276301,R,184952,R,0,R,0,R,0,R,0,R,,A,0,R,461253,R
134811,AI Miami International University of Art and Design,78363474,R,9923639,R,1281595,R,0,Z,0,Z,6003507,R,0,Z,0,R,95572215,R
457998,Aiken School of Cosmetology and Barbering,55033,R,152152,R,0,R,0,R,0,R,89256,R,,A,0,R,296441,R
419147,Ailano School of Cosmetology,367413,R,133199,R,0,R,0,R,0,R,6064,R,,A,0,R,506676,R
371034,Alabama State College of Barber Styling,91862,R,0,Z,0,Z,0,Z,0,Z,0,Z,,A,36647,R,128509,R
103501,Alaska Career College,4873595,R,0,R,0,R,0,R,1620,R,80611,R,0,R,0,R,4955826,R
451246,Alden's School of Cosmetology,65000,R,350000,R,0,R,0,R,0,R,20000,R,,A,0,R,435000,R
368036,Alexandria School of Scientific Therapeutics,475690,R,128496,R,29726,R,0,R,0,R,0,R,,A,31161,R,665073,R
393524,Alhambra Beauty College,105611,R,976246,R,0,R,0,R,0,R,120233,R,,A,0,R,1202090,R
459125,All Beauty College,171247,R,0,R,0,R,0,R,0,Z,31834,R,,A,0,R,203081,R
210599,All-State Career School,6356311,R,0,R,0,R,0,R,0,R,0,R,,A,0,R,6356311,R
474997,All-State Career School-Health Sciences,7907907,R,0,Z,0,Z,0,Z,0,Z,0,Z,,A,0,R,7907907,R
418658,All-State Career School-Pittsburgh,3313258,R,0,R,0,R,0,R,0,R,0,R,,A,0,R,3313258,R
373784,All-State Career-Baltimore,28716066,R,0,R,0,R,0,R,0,R,0,R,,A,0,R,28716066,R
231721,Allegiance Beauty School,206560,R,445713,R,0,Z,0,Z,0,Z,12834,R,,A,0,R,665107,R
188650,Allen School-Brooklyn,8267783,R,0,R,0,R,0,R,2983,R,0,R,,A,0,R,8270766,R
415987,Allen School-Jamaica,7726650,R,0,R,0,R,0,R,6341,R,0,R,,A,0,R,7732991,R
469610,Allen School-Phoenix,3763944,R,0,R,0,R,0,R,344,R,0,R,,A,0,R,3764288,R
460729,Allied American University,3416326,R,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,1193,R,3417519,R
367316,Allied Health Careers,4390583,R,1058213,R,0,Z,0,Z,4093,R,0,Z,0,Z,0,R,5452889,R
461111,Allstate Hairstyling & Barber College,393862,R,0,R,38618,R,0,R,0,R,160286,R,,A,0,R,592766,R
248192,Allure Beauty College,88215,R,0,R,0,R,0,R,0,R,29818,R,,A,0,R,118033,R
363590,Altierus Career College Everett,10209487,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,10209487,R
443854,Altierus Career College-Arlington,11599977,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,11599977,R
467784,Altierus Career College-Atlanta West,2277575,R,0,R,0,R,0,R,0,R,0,R,,A,0,R,2277575,R
442727,Altierus Career College-Austin,16968671,R,0,R,0,R,0,R,0,R,0,R,,A,0,R,16968671,R
445461,Altierus Career College-Bissonnet,15818687,R,0,R,0,R,0,R,0,R,0,R,,A,0,R,15818687,R
438647,Altierus Career College-Chesapeake,13812715,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,13812715,R
126401,Altierus Career College-Colorado Springs,9139210,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,9139210,R
447209,Altierus Career College-Columbus,11204032,R,0,R,0,R,0,R,0,R,0,R,,A,0,R,11204032,R
460358,Altierus Career College-Fort Worth South,7331595,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,7331595,R
441016,Altierus Career College-Houston Hobby,12350169,R,0,R,0,R,0,R,0,R,0,R,,A,0,R,12350169,R
443748,Altierus Career College-Norcross,10220378,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,10220378,R
445434,Altierus Career College-Orange Park,16551644,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,16551644,R
227003,Altierus Career College-San Antonio,11700173,R,0,R,0,R,0,R,0,R,0,R,,A,0,R,11700173,R
444024,Altierus Career College-Tacoma,13760139,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,13760139,R
137801,Altierus Career College-Tampa,24199191,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,24199191,R
127787,Altierus Career College-Thornton,10483631,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,10483631,R
442620,Altierus Career College-Tigard,5910347,R,0,R,0,R,0,R,0,R,0,R,,A,0,R,5910347,R
449269,Altierus Career Education-South Plainfield,8826617,R,0,R,0,R,0,R,0,R,0,R,,A,0,R,8826617,R
171322,Altierus Career Education-Southfield,16961322,R,0,R,0,R,0,R,0,R,0,R,,A,0,R,16961322,R
210748,Altoona Beauty School Inc,571930,R,0,R,0,R,0,R,609,R,139547,R,,A,0,R,712086,R
447254,Alvareitas College of Cosmetology-Belleville,115138,R,0,R,0,R,0,R,0,R,60148,R,,A,49625,R,224911,R
142869,Alvareitas College of Cosmetology-Edwardsville,218547,R,0,R,0,R,0,R,0,R,100737,R,,A,46655,R,365939,R
142878,Alvareitas College of Cosmetology-Godfrey,255068,R,0,R,0,R,0,R,0,R,118537,R,,A,0,R,373605,R
457527,Ambria College of Nursing,4147213,R,0,R,0,R,0,R,6186,R,218997,R,,A,0,R,4372396,R
365107,America's Career Institute,59297,N,319292,N,0,N,0,N,0,N,18245,N,,A,0,N,396834,N
142887,American Academy of Art College,9682736,R,977503,R,615607,R,0,R,112462,R,0,R,0,R,0,R,11388308,R
457396,American Academy of Cosmetology,651561,R,0,R,0,R,0,R,124,R,34055,R,,A,0,R,685740,R
461290,American Academy of Health and Beauty,47956,R,46533,R,0,Z,0,Z,0,Z,12546,R,,A,299097,R,406132,R
446002,American Academy of Health and Wellness,964723,R,0,R,0,R,0,R,11301,R,553398,R,0,R,0,R,1529422,R
444370,American Advanced Technicians Institute,1584000,R,0,R,0,R,0,R,168,R,333016,R,,A,0,R,1917184,R
431637,American Beauty Academy,7269137,R,0,R,0,R,0,R,0,R,0,R,,A,0,R,7269137,R
459541,American Beauty Academy,475533,R,0,R,0,R,0,R,0,R,98140,R,,A,0,R,573673,R
108977,American Beauty College,216177,R,0,R,13512,R,0,R,0,R,2647,R,,A,0,R,232336,R
365453,American Beauty Institute,137569,R,0,R,0,R,0,R,975,R,49500,R,,A,0,R,188044,R
189477,American Beauty School,772168,R,855872,R,0,Z,0,Z,0,Z,0,Z,,A,0,R,1628040,R
441195,American Broadcasting School-Arlington,768569,R,0,R,0,R,0,R,0,R,0,R,,A,0,R,768569,R
206783,American Broadcasting School-Oklahoma City,235399,R,0,R,0,R,0,R,5361,R,0,Z,,A,0,R,240760,R
475255,American Broadcasting School-Online Program,619188,R,0,R,0,R,0,R,0,R,0,R,,A,0,R,619188,R
413185,American Broadcasting School-Tulsa,267359,R,0,R,0,R,0,R,0,R,0,R,,A,0,R,267359,R
457688,American Business and Technology University,1575382,R,0,R,0,R,0,R,204,R,0,R,0,R,69345,R,1644931,R
109040,American Career College-Los Angeles,64408856,R,0,Z,0,Z,0,Z,18707,R,0,Z,0,Z,146812,R,64574375,R
447768,American Career College-Ontario,25076851,R,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,25076851,R
444176,American Career Institute-Wheaton,3216928,R,0,Z,0,Z,0,Z,0,Z,0,Z,,A,0,R,3216928,R
459860,American Career Institute–Baltimore,3900011,R,0,Z,0,Z,0,Z,0,Z,0,Z,,A,0,R,3900011,R
459888,American Career Institute–Braintree,2938917,R,0,Z,0,Z,0,Z,0,Z,0,Z,,A,0,R,2938917,R
459897,American Career Institute–Cambridge,1408038,R,0,Z,0,Z,0,Z,0,Z,0,Z,,A,0,R,1408038,R
459879,American Career Institute–Columbia,2696698,R,0,Z,0,Z,0,Z,0,Z,0,Z,,A,0,R,2696698,R
459912,American Career Institute–Framingham,2739256,R,0,Z,0,Z,0,Z,0,Z,0,Z,,A,0,R,2739256,R
