UnitID,Institution Name,Tuition and fees (F0910_F3_RV),Imputation/Status Flag For Tuition and fees (F0910_F3_RV),Federal appropriations  grants and contracts (F0910_F3_RV),Imputation/Status Flag For Federal appropriations  grants and contracts (F0910_F3_RV),State and local appropriations  grants and contracts (F0910_F3_RV),Imputation/Status Flag For State and local appropriations  grants and contracts (F0910_F3_RV),Private grants and contracts (F0910_F3_RV),Imputation/Status Flag For Private grants and contracts (F0910_F3_RV),Investment income and investment gains (losses) included in net income (F0910_F3_RV),Imputation/Status Flag For Investment income and investment gains (losses) included in net income (F0910_F3_RV),Sales and services of educational activities (F0910_F3_RV),Imputation/Status Flag For Sales and services of educational activities (F0910_F3_RV),Sales and services of auxiliary enterprises (F0910_F3_RV),Imputation/Status Flag For Sales and services of auxiliary enterprises (F0910_F3_RV),Other revenue (F0910_F3_RV),Imputation/Status Flag For Other revenue (F0910_F3_RV),Total revenues and investment return (F0910_F3_RV),Imputation/Status Flag For Total revenues and investment return (F0910_F3_RV)
455363,360 Degrees Beauty Academy,222890,R,0,R,0,R,0,R,0,R,21933,R,,A,0,R,244823,R
448099,4-States Academy of Cosmetology,7146,R,131679,R,0,R,0,R,0,R,59193,R,,A,171458,R,369476,R
375799,4-States Okmulgee Academy of Cosmetology,7146,R,82342,R,0,R,0,R,0,R,28373,R,,A,36345,R,154206,R
457590,A & W Healthcare Educators,343894,R,0,R,0,R,0,R,0,R,0,R,,A,0,R,343894,R
436526,A.B.I. School of Barbering & Cosmetology of Chelsea Inc.,416358,R,345250,R,115000,R,0,R,0,R,100298,R,,A,0,R,976906,R
449940,A.B.I. School of Barbering & Cosmetology of Tribeca Inc.,192201,R,149157,R,14000,R,0,Z,0,Z,24762,R,,A,0,R,380120,R
161615,Aaron's Academy of Beauty,457789,R,0,R,0,Z,0,Z,0,Z,0,Z,,A,0,R,457789,R
459523,ABC Beauty Academy,135111,R,0,R,0,Z,0,Z,0,Z,12874,R,,A,0,R,147985,R
106281,ABC Beauty College Inc,98306,R,244631,R,0,R,0,R,660,R,17687,R,,A,0,R,361284,R
208123,Abdill Career College Inc,1309994,R,0,R,0,R,0,R,0,R,0,R,,A,0,R,1309994,R
421896,Academia Serrant Inc,268159,R,1351661,R,43076,R,0,R,0,R,0,R,,A,0,R,1662896,R
172866,Academy College,1506751,R,570251,R,97328,R,3800,R,0,R,264563,R,64002,R,704,R,2507399,R
