UnitID,Institution Name,Tuition and fees (F9899_F3),Imputation/Status Flag For Tuition and fees (F9899_F3),Federal appropriations  grants and contracts (F9899_F3),Imputation/Status Flag For Federal appropriations  grants and contracts (F9899_F3),State and local appropriations  grants and contracts (F9899_F3),Imputation/Status Flag For State and local appropriations  grants and contracts (F9899_F3),Private grants and contracts (F9899_F3),Imputation/Status Flag For Private grants and contracts (F9899_F3),Investment income and investment gains (losses) included in net income (F9899_F3),Imputation/Status Flag For Investment income and investment gains (losses) included in net income (F9899_F3),Sales and services of educational activities (F9899_F3),Imputation/Status Flag For Sales and services of educational activities (F9899_F3),Sales and services of auxiliary enterprises (F9899_F3),Imputation/Status Flag For Sales and services of auxiliary enterprises (F9899_F3),Other revenue (F9899_F3),Imputation/Status Flag For Other revenue (F9899_F3),Total revenues and investment return (F9899_F3),Imputation/Status Flag For Total revenues and investment return (F9899_F3)
172866,Academy College,2712238,R,265428,R,378526,R,0,R,0,R,0,R,0,R,105177,R,3461369,R
108232,Academy of Art University,47412310,R,2193057,R,1098316,R,0,R,136928,R,0,R,3340530,R,0,R,54181141,R
367264,Academy of Healing Arts,3746124,R,0,R,0,R,0,R,78723,R,0,R,0,R,-24486,R,3800361,R
134811,AI Miami International University of Art and Design,9474766,R,0,R,0,R,0,R,0,R,959453,R,53338,R,205699,R,10693256,R
126401,Altierus Career College-Colorado Springs,1837220,R,690681,R,128857,R,10650,R,0,R,0,R,0,R,0,R,2667408,R
137801,Altierus Career College-Tampa,6404648,R,1468641,R,20653,R,0,R,0,R,0,R,0,R,0,R,7893942,R
127787,Altierus Career College-Thornton,2427507,R,752083,R,137071,R,25691,R,0,R,0,R,0,R,0,R,3342352,R
210766,ALTOONA SCHOOL OF COMMERCE,1257771,N,0,N,0,N,0,N,0,N,155469,N,0,N,239200,N,1652440,N
142887,American Academy of Art College,4980202,R,0,R,0,R,0,R,40242,R,0,R,0,R,7859,R,5028303,R
429085,American College of Acupuncture and Oriental Med,553535,R,0,R,0,R,0,R,0,R,122913,R,33216,R,0,R,709664,R
222682,American Commercial College-Lubbock,3721365,R,0,R,0,R,0,R,5922,R,46277,R,60876,R,0,R,3834440,R
109013,American InterContinental University,10577751,P,0,P,0,P,0,P,0,P,0,P,458436,P,81390,P,11117577,P
138725,American InterContinental University,10202464,R,0,R,0,R,0,R,0,R,0,R,702131,R,80271,R,10984866,A
232797,American National University,7255562,R,106035,R,0,R,0,R,-19568,R,786505,R,0,R,59076,R,8187610,R
157021,American National University-Pikeville,5160238,R,66554,R,0,R,0,R,143274,R,541606,R,0,R,28613,R,5940285,R
176549,Anthem College-Maryland Heights,1812281,R,721225,R,291793,R,0,R,3829,R,0,R,3957,R,0,R,2833085,R
104805,Anthem College-Phoenix,23173074,R,0,R,0,R,0,R,28752,R,0,R,0,R,190734,R,23392560,R
413635,Anthem College-Sacramento,6110608,R,0,R,0,R,0,R,0,R,0,R,0,R,42254,R,6152862,R
201016,Antonelli College-Cincinnati,5034314,R,0,R,0,R,0,R,0,R,0,R,0,R,3983,R,5038297,R
210890,Antonelli Institute,1169008,R,0,R,0,R,0,R,-5618,R,0,R,19599,R,0,R,1182989,R
429094,AOMA Graduate School of Integrative Medicine,655465,R,0,R,0,R,0,R,2146,R,0,R,282863,R,0,R,940474,R
367936,Argosy University-Atlanta,3253664,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,3253664,R
145770,Argosy University-Chicago,8434141,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,8434141,R
366748,Argosy University-Hawaii,1759418,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,1759418,R
419457,Argosy University-Northern Virginia,2196135,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,2196135,R
137148,Argosy University-Sarasota,4910328,R,0,R,0,R,0,R,407,R,0,R,0,R,227020,R,5137755,R
428268,Argosy University-Tampa,899785,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,899785,R
410502,Argosy University-The Art Institute of California-Hollywood,3167845,R,0,R,0,R,0,R,0,R,0,R,0,R,13487,R,3181332,R
432533,Argosy University-The Art Institute of California-Los Angeles,4977070,R,604957,R,0,R,0,R,0,R,0,R,551536,R,0,R,6133563,R
117113,Argosy University-The Art Institute of California-San Diego,705581,R,1779329,R,232227,R,0,R,2376,R,0,R,0,R,0,R,2719513,R
117928,Argosy University-The Art Institute of California-San Francisco,1067069,R,0,R,0,R,0,R,0,R,0,R,0,R,56191,R,1123260,R
173984,Argosy University-Twin Cities,4654886,R,0,R,0,R,0,R,85286,R,0,R,0,R,133605,R,4873777,R
408118,ARGOSY UNIVERSITY-TWIN CITIES CAMPUS,2864576,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,2864576,R
