UnitID,Institution Name,Tuition and fees (F0203_F3),Imputation/Status Flag For Tuition and fees (F0203_F3),Federal appropriations  grants and contracts (F0203_F3),Imputation/Status Flag For Federal appropriations  grants and contracts (F0203_F3),State and local appropriations  grants and contracts (F0203_F3),Imputation/Status Flag For State and local appropriations  grants and contracts (F0203_F3),Private grants and contracts (F0203_F3),Imputation/Status Flag For Private grants and contracts (F0203_F3),Investment income and investment gains (losses) included in net income (F0203_F3),Imputation/Status Flag For Investment income and investment gains (losses) included in net income (F0203_F3),Sales and services of educational activities (F0203_F3),Imputation/Status Flag For Sales and services of educational activities (F0203_F3),Sales and services of auxiliary enterprises (F0203_F3),Imputation/Status Flag For Sales and services of auxiliary enterprises (F0203_F3),Other revenue (F0203_F3),Imputation/Status Flag For Other revenue (F0203_F3),Total revenues and investment return (F0203_F3),Imputation/Status Flag For Total revenues and investment return (F0203_F3)
436526,A.B.I. School of Barbering & Cosmetology of Chelsea Inc.,308748,R,256541,R,0,Z,0,Z,0,Z,5518,R,0,Z,0,R,570807,R
419378,A1 Business and Technical College,61966,R,0,R,55428,R,0,R,82663,R,0,R,14474,R,1269821,R,1484352,R
161615,Aaron's Academy of Beauty,249139,R,0,R,0,R,0,R,0,R,87896,R,0,R,11559,R,348594,R
176497,Abbott Academy of Cosmetology Arts and Sciences LLC,229699,R,0,R,0,R,0,R,0,R,106138,R,0,R,0,R,335837,R
106281,ABC Beauty College Inc,90789,R,98518,R,0,R,0,R,726,R,30754,R,0,R,0,R,220787,R
421896,Academia Serrant Inc,0,R,0,R,0,R,0,R,0,R,0,R,0,R,1015162,R,1015162,R
429003,Academia Vocational Del Turabo,490993,R,0,R,0,R,0,R,0,Z,0,R,0,R,0,R,490993,R
172866,Academy College,1656938,R,215294,R,208677,R,4800,R,220,R,159619,R,67714,R,0,R,2313262,R
442903,Academy Education Services,145911,R,0,R,0,R,351307,R,0,R,4508,R,0,R,0,R,501726,R
108232,Academy of Art University,81543252,R,0,R,0,R,0,R,487817,R,0,R,5176200,R,0,R,87207269,R
372462,Academy of Cosmetology,192514,R,0,R,0,R,0,R,0,R,80381,R,0,R,0,R,272895,R
409209,Academy of Cosmetology,231668,R,0,R,0,R,0,R,1100,R,0,R,122500,R,394106,R,749374,R
442912,Academy of Cosmetology,369157,R,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,369157,R
179991,Academy of Cosmetology Inc,174456,R,0,R,0,R,0,R,920,R,176391,R,0,R,0,R,351767,R
154633,Academy of Hair Design Inc,412939,R,0,R,0,R,0,R,603,R,93801,R,0,R,0,R,507343,R
175476,Academy of Hair Design Seven,55025,R,0,Z,0,Z,0,Z,0,Z,16681,R,0,Z,0,R,71706,R
175722,Academy of Hair Design-Grenada,29912,R,132666,R,0,Z,0,Z,0,Z,48170,R,0,Z,182,R,210930,R
374316,Academy of Hair Design-Jackson,324854,R,0,Z,0,Z,0,Z,0,Z,108314,R,0,Z,0,R,433168,R
181880,Academy of Hair Design-Las Vegas,1154838,R,0,R,0,R,0,R,9573,R,216101,R,0,Z,79433,R,1459945,R
