UnitID,Institution Name,Tuition and fees (F0607_F3_RV),Imputation/Status Flag For Tuition and fees (F0607_F3_RV),Federal appropriations  grants and contracts (F0607_F3_RV),Imputation/Status Flag For Federal appropriations  grants and contracts (F0607_F3_RV),State and local appropriations  grants and contracts (F0607_F3_RV),Imputation/Status Flag For State and local appropriations  grants and contracts (F0607_F3_RV),Private grants and contracts (F0607_F3_RV),Imputation/Status Flag For Private grants and contracts (F0607_F3_RV),Investment income and investment gains (losses) included in net income (F0607_F3_RV),Imputation/Status Flag For Investment income and investment gains (losses) included in net income (F0607_F3_RV),Sales and services of educational activities (F0607_F3_RV),Imputation/Status Flag For Sales and services of educational activities (F0607_F3_RV),Sales and services of auxiliary enterprises (F0607_F3_RV),Imputation/Status Flag For Sales and services of auxiliary enterprises (F0607_F3_RV),Other revenue (F0607_F3_RV),Imputation/Status Flag For Other revenue (F0607_F3_RV),Total revenues and investment return (F0607_F3_RV),Imputation/Status Flag For Total revenues and investment return (F0607_F3_RV)
406051,Southeastern Beauty School-Columbus North Lumpkin,234925,R,0,R,0,R,0,R,0,R,48879,R,0,R,0,R,283804,R
443261,Southeastern College-Charleston,455651,R,0,R,0,R,0,R,5720,R,0,R,58337,R,0,R,519708,R
444866,Southeastern College-Columbia,503044,R,0,R,0,R,0,R,7772,R,0,R,50015,R,0,R,560831,R
443270,Southeastern College-Jacksonville,384979,R,0,R,0,R,0,R,6895,R,496168,R,48744,R,6,R,936792,R
428170,Southeastern College-West Palm Beach,9284227,R,0,R,0,R,0,R,49664,R,99009,R,437836,R,82568,R,9953304,R
399869,Southern California Institute of Technology,2021744,R,1010419,R,374570,R,0,R,0,R,0,R,0,Z,0,R,3406733,R
444273,Southern Careers Institute Inc-Laredo,474511,R,474511,R,0,Z,0,R,2045,R,0,R,0,R,123737,R,1074804,R
226903,Southern Careers Institute-Austin,537698,R,537698,R,0,R,0,R,183481,R,0,R,0,R,239923,R,1498800,R
405076,Southern Careers Institute-Corpus Christi,1227618,R,1227618,R,0,R,0,R,5838,R,0,R,0,R,356856,R,2817930,R
408385,Southern Careers Institute-Pharr,1501611,R,1501611,R,0,R,0,R,6660,R,0,R,0,R,458770,R,3468652,R
430245,Southern Careers Institute-San Antonio,793148,R,793148,R,0,R,0,R,3674,R,0,R,0,R,292786,R,1882756,R
207786,Southern School of Beauty Inc,235065,R,0,R,0,R,0,R,0,R,0,R,0,R,95143,R,330208,R
446552,Southern Technical College,191644,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,191644,R
233082,Southside College of Health Sciences,3135130,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,3135130,R
366605,Southwest Acupuncture College-Santa Fe,3560598,R,0,R,0,R,0,R,0,R,477349,R,0,R,0,R,4037947,R
442879,Southwest Institute of Healing Arts,3198516,R,0,R,0,R,0,R,7075,R,531891,R,358800,R,0,R,4096282,R
228291,Southwest Institute of Technology,962127,R,0,R,0,R,0,R,6247,R,0,Z,0,Z,0,R,968374,R
228282,Southwest School of Business and Technical Careers-San Antonio,1575,R,560928,R,5033,R,147948,R,0,R,24040,R,0,R,0,R,739524,R
104188,Southwest University of Visual Arts-Tucson,5554784,R,1033695,R,5898,R,0,R,0,R,0,R,0,R,125075,R,6719452,R
232724,Sovah School of Health Professions,497141,R,0,R,37595,R,0,R,0,R,0,R,0,R,494993,R,1029729,R
161527,Spa Tech Institute-Westbrook,3654494,R,20975,R,0,Z,0,Z,0,Z,481691,R,0,Z,0,R,4157160,R
449542,Space Coast Health Institute,558854,R,0,R,0,R,0,R,0,R,0,R,0,R,152105,R,710959,R
