UnitID,Institution Name,Tuition and fees (F0001_F3),Imputation/Status Flag For Tuition and fees (F0001_F3),Federal appropriations  grants and contracts (F0001_F3),Imputation/Status Flag For Federal appropriations  grants and contracts (F0001_F3),State and local appropriations  grants and contracts (F0001_F3),Imputation/Status Flag For State and local appropriations  grants and contracts (F0001_F3),Private grants and contracts (F0001_F3),Imputation/Status Flag For Private grants and contracts (F0001_F3),Investment income and investment gains (losses) included in net income (F0001_F3),Imputation/Status Flag For Investment income and investment gains (losses) included in net income (F0001_F3),Sales and services of educational activities (F0001_F3),Imputation/Status Flag For Sales and services of educational activities (F0001_F3),Sales and services of auxiliary enterprises (F0001_F3),Imputation/Status Flag For Sales and services of auxiliary enterprises (F0001_F3),Other revenue (F0001_F3),Imputation/Status Flag For Other revenue (F0001_F3),Total revenues and investment return (F0001_F3),Imputation/Status Flag For Total revenues and investment return (F0001_F3)
409193,Professional Technical Institution,1310260,R,1098811,R,0,R,211449,R,0,R,0,R,0,R,-1310260,R,1310260,R
148098,Professional's Choice Hair Design Academy,125122,P,63635,P,0,P,0,P,22831,P,145562,P,0,P,46342,P,403492,P
136631,PROSPECT HALL SCHOOL OF BUSINESS,437416,R,0,R,0,R,0,R,334,R,0,R,0,R,-334,R,437416,R
380438,Provo College,3364808,R,0,R,0,R,0,R,0,R,56433,R,0,R,0,R,3421241,R
436067,Pryor Beauty College,25965,R,0,R,0,R,0,R,0,R,23520,R,0,R,49771,R,99256,R
214908,PSC Academy Inc,333045,R,0,R,0,R,0,R,0,R,47022,R,0,Z,-26458,R,353609,R
418791,Puerto Rico Barber College,277149,R,0,R,0,R,0,R,0,R,278,R,0,R,20773,R,298200,R
242741,Puerto Rico Technical Junior College Inc,1008434,R,0,R,0,R,0,R,0,R,46303,R,0,R,0,R,1054737,R
215567,Punxy Beauty School,133471,R,0,Z,0,Z,0,Z,0,Z,18960,R,0,Z,0,R,152431,R
153418,Purdue University Global-Cedar Rapids,1924055,R,427604,R,1532044,R,381726,R,10285,R,0,R,0,R,-1924055,R,2351659,R
260901,Purdue University Global-Davenport,775157,R,1333808,R,292116,R,3196,R,0,R,0,R,0,R,7949,R,2412226,R
367024,Purdue University Global-Des Moines,949517,R,892222,R,1341885,R,11220,R,0,R,84,R,0,R,4308,R,3199236,R
162681,Purdue University Global-Hagerstown,790020,R,2538326,R,194158,R,8808,R,0,R,0,R,170,R,148803,R,3680285,R
160940,Purdue University Global-Lewiston,3092167,R,124618,R,0,Z,0,Z,156845,R,0,Z,532367,R,0,R,3905997,R
181242,Purdue University Global-Lincoln,957661,R,2511192,R,40006,R,14732,R,0,Z,0,Z,135429,R,10947,R,3669967,R
181400,Purdue University Global-Omaha,1024858,R,2774427,R,33431,R,0,R,0,R,0,R,0,R,3309,R,3836025,R
425393,Pyramid Career Institute,105678,R,1867618,R,203426,R,9082,R,0,R,0,R,0,R,0,R,2185804,R
418764,Quality Technical and Beauty College,156116,R,1246,R,0,Z,28831,R,0,Z,410,R,0,Z,0,R,186603,R
376677,Queen City College,317811,R,0,R,0,R,0,R,0,R,148135,R,0,R,0,R,465946,R
439507,Quest College,1011802,R,0,R,0,R,0,R,9052,R,0,R,0,R,0,R,1020854,R
243382,Ramirez College of Business and Technology,2361727,R,0,Z,0,Z,0,Z,0,Z,79848,R,0,Z,0,R,2441575,R
205142,Raphael's School of Beauty Culture Inc-Niles,500033,R,0,R,0,R,0,R,0,R,288234,R,0,R,-9897,R,778370,R
174622,Rasmussen College-Eagan,2743144,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,2743144,R
174464,Rasmussen College-Eden Prairie,2768096,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,2768096,R
174631,Rasmussen College-Mankato,2563318,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,2563318,R
138309,Rasmussen University-Florida,5560752,R,0,Z,0,Z,0,Z,-126070,R,0,Z,0,Z,24729,R,5459411,R
175014,Rasmussen University-Minnesota,3140205,R,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,3140205,R
200013,Rasmussen University-North Dakota,1850784,C,119296,C,32820,C,1611,C,8347,C,64014,C,61515,C,51798,C,2190185,R
152275,Ravenscroft Beauty College,599515,R,0,R,0,R,0,R,0,R,130265,R,0,R,1336,R,731116,R
105659,Refrigeration School Inc,1717870,R,294748,R,7001,R,0,R,70029,R,0,Z,0,R,2099,R,2091747,R
173939,Regency Beauty Institute-Blaine,2432369,R,0,R,0,R,0,R,3687,R,670835,R,0,R,-575914,R,2530977,R
174534,Regency Beauty Institute-Burnsville,9922,R,0,Z,43212,R,0,R,46111,R,44718,R,0,R,679823,R,823786,R
383251,Regency Beauty Institute-Winston-Salem,129679,N,0,N,0,N,0,N,0,N,227828,N,0,N,496686,N,854193,N
375416,Remington College-Cleveland Campus,5209724,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,5209724,R
381741,Remington College-Colorado Springs Campus,1353830,R,0,R,0,R,0,R,7119,R,0,R,0,R,16494,R,1377443,R
223463,Remington College-Dallas Campus,6588669,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,6588669,R
365310,Remington College-Denver Campus,2213758,R,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,2213758,R
377111,Remington College-Fort Worth Campus,7513515,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,7513515,R
380094,Remington College-Houston Campus,4025199,R,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,4025199,R
160524,Remington College-Lafayette Campus,5207488,R,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,5207488,R
436474,Remington College-Largo Campus,4589176,R,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,4589176,R
